,year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
54,1997,Namco,1.635,8.55,Time Crisis,Soul Blade,Soul Blade,Time Crisis
55,1997,Nintendo,0.57,7.8,Blast Corps,Mischief Makers,Blast Corps,Mischief Makers
56,1997,Psygnosis,0.215,6.8500000000000005,Colony Wars,The City of Lost Children,Colony Wars,The City of Lost Children
57,1997,Sony Computer Entertainment,0.5377777777777778,7.022222222222222,Intelligent Qube,Codename Tenka,Wild ARMs,Spawn the Eternal
58,1997,THQ,0.14,5.3,Bravo Air Race,Bravo Air Race,Bravo Air Race,Bravo Air Race
59,1997,Tecmo,0.46,7.9,Dead or Alive,Dead or Alive,Dead or Alive,Dead or Alive
60,1997,Victory Lap Games,0.19,5.4,AeroFighters Assault,AeroFighters Assault,AeroFighters Assault,AeroFighters Assault
61,1997,Westwood Studios,0.405,8.1,Command & Conquer: Red Alert,Command & Conquer,Command & Conquer,Command & Conquer: Red Alert
62,1997,Working Designs,0.23,8.8,Alundra,Alundra,Alundra,Alundra
63,1998,989 Studios,0.8066666666666666,5.766666666666667,Twisted Metal III,Cardinal Syn,Bust A Groove,Twisted Metal III
64,1998,ASC Games,2.56,6.0,Grand Theft Auto,Grand Theft Auto,Grand Theft Auto,Grand Theft Auto
65,1998,ASCII Entertainment,0.23,6.3,Backstreet Billiards,Aero Gauge,Armored Core: Project Phantasma,Aero Gauge
66,1998,Acclaim Entertainment,0.5825,5.55,South Park,Iggy's Reckin' Balls,Forsaken 64,South Park
67,1998,Activision,1.2750000000000001,5.8,A Bug's Life,The Fifth Element,Tenchu: Stealth Assassins,A Bug's Life
68,1998,Atlus,0.21,7.433333333333334,Bomberman World,Ogre Battle Series: Tactics Ogre,Kartia: The Word of Fate,Bomberman World
69,1998,Capcom,1.04,6.0,Breath of Fire III,Breath of Fire III,Breath of Fire III,Breath of Fire III
70,1998,EA Sports,1.22,8.3,NBA Live 99,NBA Live 99,NBA Live 99,NBA Live 99
71,1998,ESP,0.03,9.0,Radiant Silvergun,Radiant Silvergun,Radiant Silvergun,Radiant Silvergun
72,1998,Eidos Interactive,2.14,7.0,Tomb Raider III: Adventures of Lara Croft,Akuji the Heartless,Tomb Raider III: Adventures of Lara Croft,Akuji the Heartless
73,1998,Electronic Arts,0.58,8.3,Diablo,Diablo,Diablo,Diablo
74,1998,Fortyfive,0.06,4.8,July,July,July,July
75,1998,GT Interactive,0.99,8.6,Oddworld: Abe's Exoddus,Oddworld: Abe's Exoddus,Oddworld: Abe's Exoddus,Oddworld: Abe's Exoddus
76,1998,Interplay,0.0,9.2,Fallout 2,Fallout 2,Fallout 2,Fallout 2
77,1998,Konami,0.16999999999999998,6.279999999999999,International Superstar Soccer '98,Kensei: Sacred Fist,International Superstar Soccer '98,C: The Contra Adventure
78,1998,Midway Games,0.8200000000000001,7.65,NFL Blitz,Bio FREAKS,NFL Blitz,Bio FREAKS
79,1998,Mindscape,0.07,5.9,Circuit Breakers,Circuit Breakers,Circuit Breakers,Circuit Breakers
80,1998,Natsume,0.22,7.8,Bust-A-Move 4,Bust-A-Move 4,Bust-A-Move 4,Bust-A-Move 4
81,1998,Ocean,0.625,7.6,Mission: Impossible,Wetrix,Wetrix,Mission: Impossible
82,1998,Psygnosis,0.125,7.199999999999999,Colony Wars: Vengeance,Adidas Power Soccer 98,Colony Wars: Vengeance,Adidas Power Soccer 98
83,1998,Sega,0.10666666666666667,6.599999999999999,The House of the Dead,Godzilla Generations,Panzer Dragoon Saga,Godzilla Generations
84,1998,Sony Computer Entertainment,0.3333333333333333,7.266666666666666,Bloody Roar,Tomba!,Bloody Roar,Blasto
85,1998,Square,1.14,8.4,Brave Fencer Musashi,Brave Fencer Musashi,Brave Fencer Musashi,Brave Fencer Musashi
86,1998,Square EA,0.68,7.5,Bushido Blade 2,Bushido Blade 2,Bushido Blade 2,Bushido Blade 2
87,1998,THQ,0.26333333333333336,7.066666666666666,Quest 64,The Granstream Saga,Brunswick Circuit Pro Bowling,Quest 64
88,1998,Take-Two Interactive,0.15,8.3,Space Station Silicon Valley,Space Station Silicon Valley,Space Station Silicon Valley,Space Station Silicon Valley
89,1998,Ubisoft,0.16,6.8,Buck Bumble,Buck Bumble,Buck Bumble,Buck Bumble
90,1999,3DO,0.81,4.2,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes,Army Men: Sarge's Heroes
91,1999,989 Studios,1.09,4.8,Twisted Metal 4,3Xtreme,Twisted Metal 4,3Xtreme
92,1999,Acclaim Entertainment,0.3925,4.475,South Park: Chef's Luv Shack,Bust-A-Move '99,Bust-A-Move '99,South Park: Chef's Luv Shack
93,1999,Activision,2.9566666666666666,6.033333333333334,Tony Hawk's Pro Skater,Blue Stinger,Tony Hawk's Pro Skater,A Collection of Intellivision Classic Games
94,1999,Agetec,0.13,5.466666666666666,Clock Tower II: The Struggle Within,Shadow Tower,Echo Night,Clock Tower II: The Struggle Within
95,1999,Atari,0.10500000000000001,6.7,RollerCoaster Tycoon,Ballistic,Ballistic,RollerCoaster Tycoon
96,1999,Atlus,0.025,6.8,Tail Concerto,Bomberman Fantasy Race,Tail Concerto,Bomberman Fantasy Race
97,1999,Bandai,0.06,5.6,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion,Neon Genesis Evangelion
98,1999,Capcom,0.2866666666666667,7.666666666666667,Resident Evil 2,Marvel vs. Capcom: Clash of Super Heroes,Power Stone,Resident Evil 2
99,1999,Crave Entertainment,0.11,6.033333333333334,Asteroids Hyper 64,Broken Sword II: The Smoking Mirror,Broken Sword II: The Smoking Mirror,Fighting Force 64
100,1999,EA Sports,1.87,8.8,FIFA 2000,FIFA 2000,FIFA 2000,FIFA 2000
101,1999,Eidos Interactive,1.04,8.9,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver,Legacy of Kain: Soul Reaver
102,1999,Electronic Arts,2.466666666666667,7.166666666666667,Medal of Honor,System Shock 2,Beetle Adventure Racing!,Castrol Honda Superbike Racing
103,1999,Enix,0.26,7.0,Bust A Groove 2,Bust A Groove 2,Bust A Groove 2,Bust A Groove 2
104,1999,Fox Interactive,0.01,8.7,Aliens versus Predator,Aliens versus Predator,Aliens versus Predator,Aliens versus Predator
105,1999,GT Interactive,3.2899999999999996,7.0,Driver,40 Winks,Driver,40 Winks
106,1999,Gathering of Developers,0.66,6.7,Darkstone,Darkstone,Darkstone,Darkstone
107,1999,Hasbro Interactive,0.65,5.9,Centipede,Centipede,Centipede,Centipede
108,1999,Human Entertainment,0.19,8.0,Fire ProWrestling G,Fire ProWrestling G,Fire ProWrestling G,Fire ProWrestling G
109,1999,Infogrames,0.14750000000000002,6.25,Bugs Bunny: Lost in Time,Starshot: Space Circus Fever,Bugs Bunny: Lost in Time,Starshot: Space Circus Fever
110,1999,Interplay,0.03,8.8,Planescape: Torment,Planescape: Torment,Planescape: Torment,Planescape: Torment
111,1999,Kemco,0.05,5.65,Shadowgate 64: Trials of the Four Towers,Charlie Blasts Territory,Charlie Blasts Territory,Shadowgate 64: Trials of the Four Towers
112,1999,Konami,0.5700000000000001,7.42,Metal Gear Solid VR Missions,Vandal Hearts II,Suikoden II,Metal Gear Solid VR Missions
113,1999,Midway Games,0.64,7.3,Ready 2 Rumble Boxing,Arcade Party Pak,Paperboy,Gauntlet Legends
114,1999,Mindscape,0.15,7.5,Chessmaster II,Chessmaster II,Chessmaster II,Chessmaster II
115,1999,Namco,2.06,9.1,R4: Ridge Racer Type 4,R4: Ridge Racer Type 4,R4: Ridge Racer Type 4,R4: Ridge Racer Type 4
116,1999,Natsume,0.48,7.8,Harvest Moon 64,Harvest Moon 64,Harvest Moon 64,Harvest Moon 64
117,1999,Psygnosis,0.07,6.6,Blast Radius,Blast Radius,Blast Radius,Blast Radius
118,1999,Rockstar Games,1.2766666666666666,6.366666666666667,Grand Theft Auto 2,"Grand Theft Auto: Mission Pack #1, London 1969",Grand Theft Auto 2,Monster Truck Madness 64
119,1999,SNK,0.09,6.85,The King of Fighters: Dream Match 1999,Koudelka,The King of Fighters: Dream Match 1999,Koudelka
120,1999,Sega,0.785,8.6,Sonic Adventure,NBA 2K,NFL 2K,The House of the Dead 2
121,1999,Sony Computer Entertainment,1.885,8.7,Crash Team Racing,Bloody Roar II,Ape Escape,Legend of Legaia
122,1999,SouthPeak Interactive,0.11,4.5,BoomBots,BoomBots,BoomBots,BoomBots
123,1999,Square,0.3,6.7,Ehrgeiz,Ehrgeiz,Ehrgeiz,Ehrgeiz
124,1999,Square EA,0.6466666666666666,6.733333333333333,Final Fantasy Anthology,Chocobo Racing,Final Fantasy Anthology,Chocobo Racing
125,1999,THQ,0.58,7.5,Championship Motocross featuring Ricky Carmichael,Championship Motocross featuring Ricky Carmichael,Championship Motocross featuring Ricky Carmichael,Championship Motocross featuring Ricky Carmichael
126,1999,Take-Two Interactive,0.19,5.2,Bass Hunter 64,Alexi Lalas International Soccer,Bass Hunter 64,Alexi Lalas International Soccer
127,1999,Titus,0.10500000000000001,3.85,Roadsters 99,Carmageddon 64,Roadsters 99,Carmageddon 64
128,1999,Ubisoft,0.37666666666666665,7.366666666666667,Rayman 2: The Great Escape,All Star Tennis 99,Rayman 2: The Great Escape,All Star Tennis 99
129,1999,Working Designs,0.55,7.6,Lunar: Silver Star Story Complete,Lunar: Silver Star Story Complete,Lunar: Silver Star Story Complete,Lunar: Silver Star Story Complete
130,2000,3DO,0.3033333333333333,6.533333333333334,Army Men: Sarge's Heroes 2,Army Men: Air Combat,Army Men: Air Combat,Army Men: Sarge's Heroes 2
131,2000,Acclaim Entertainment,2.0333333333333337,7.933333333333334,Crazy Taxi,All-Star Baseball 2001,All-Star Baseball 2001,Crazy Taxi
132,2000,Activision,2.4899999999999998,8.033333333333333,Tony Hawk's Pro Skater 2,Alundra 2: A New Legend Begins,Tenchu 2: Birth of the Stealth Assassins,Alundra 2: A New Legend Begins
133,2000,Agetec,0.305,6.7,EverGrace,Armored Core: Master of Arena,Armored Core: Master of Arena,EverGrace
134,2000,Atari,4.73,7.0,Driver 2,Driver 2,Driver 2,Driver 2
135,2000,Atlus,0.2833333333333333,8.166666666666666,Ogre Battle 64: Person of Lordly Caliber,Rhapsody: A Musical Adventure,Ogre Battle 64: Person of Lordly Caliber,Rhapsody: A Musical Adventure
136,2000,Capcom,0.56,8.466666666666667,Marvel vs. Capcom 2,Capcom vs. SNK,Capcom vs. SNK,Marvel vs. Capcom 2
137,2000,Codemasters,0.93,8.3,Colin McRae Rally 2.0,Colin McRae Rally 2.0,Colin McRae Rally 2.0,Colin McRae Rally 2.0
138,2000,Crave Entertainment,0.07,7.3,Battlezone: Rise of the Black Dogs,Battlezone: Rise of the Black Dogs,Battlezone: Rise of the Black Dogs,Battlezone: Rise of the Black Dogs
139,2000,EA Sports,0.32,7.1,Championship Bass,Championship Bass,Championship Bass,Championship Bass
140,2000,Eidos Interactive,0.04666666666666667,6.5,Chicken Run,John Romero's Daikatana,Deus Ex,John Romero's Daikatana
141,2000,Electronic Arts,0.6914285714285714,7.485714285714287,007: The World is Not Enough,Shogun: Total War,Command & Conquer: Red Alert 2,007 Racing
142,2000,Fox Interactive,0.14,6.8,The Operative: No One Lives Forever,The Operative: No One Lives Forever,The Operative: No One Lives Forever,The Operative: No One Lives Forever
143,2000,Hasbro Interactive,0.11,4.9,Breakout,Breakout,Breakout,Breakout
144,2000,Infogrames,0.135,5.75,Bugs Bunny & Taz: Time Busters,Animorphs: Shattered Reality,Bugs Bunny & Taz: Time Busters,Animorphs: Shattered Reality
145,2000,Interplay,0.0,8.5,MDK2,MDK2,MDK2,MDK2
146,2000,Konami,0.0,8.5,Metal Gear Solid,Metal Gear Solid,Metal Gear Solid,Metal Gear Solid
147,2000,LucasArts,0.26,8.5,Star Wars Episode I: Battle for Naboo,Star Wars Episode I: Battle for Naboo,Star Wars Episode I: Battle for Naboo,Star Wars Episode I: Battle for Naboo
148,2000,Mattel Interactive,0.06,7.2,Championship Surfer,Championship Surfer,Championship Surfer,Championship Surfer
149,2000,Maxis,0.05,8.9,The Sims,The Sims,The Sims,The Sims
150,2000,Midway Games,0.6333333333333333,6.233333333333333,Ready 2 Rumble Boxing: Round 2,Colony Wars III: Red Sun,Colony Wars III: Red Sun,Ready 2 Rumble Boxing: Round 2
151,2000,Namco,2.06,7.3999999999999995,Tekken Tag Tournament,Dragon Valor,Tekken Tag Tournament,Dragon Valor
152,2000,NewKidCo,0.2,7.3,Tigger's Honey Hunt,Tigger's Honey Hunt,Tigger's Honey Hunt,Tigger's Honey Hunt
153,2000,Nintendo,0.58,8.45,Excitebike 64,Starcraft 64,Excitebike 64,Starcraft 64
154,2000,Sega,0.388,8.459999999999999,NFL 2K1,Skies of Arcadia,NFL 2K1,Sakura Wars
155,2000,Sony Computer Entertainment,1.615,6.933333333333334,Crash Bash,NHL FaceOff 2001,Fantavision,NHL FaceOff 2001
156,2000,Square EA,0.6733333333333333,8.166666666666666,SaGa Frontier 2,Threads of Fate,Vagrant Story,SaGa Frontier 2
157,2000,THQ,1.6033333333333335,8.266666666666666,WWF SmackDown! 2: Know Your Role,Brunswick Circuit Pro Bowling 2,WWF No Mercy,Brunswick Circuit Pro Bowling 2
158,2000,Take-Two Interactive,0.625,5.85,Action Bass,Railroad Tycoon II,Railroad Tycoon II,Action Bass
159,2000,Tecmo,0.14,9.0,Dead or Alive 2,Dead or Alive 2,Dead or Alive 2,Dead or Alive 2
160,2000,Titus,0.04,4.7,Blues Brothers 2000,Roadsters,Blues Brothers 2000,Roadsters
161,2000,Ubisoft,0.29,4.7,Grandia II,Batman Beyond: Return of the Joker,Grandia II,Batman Beyond: Return of the Joker
162,2000,Vatical Entertainment,0.12,7.9,Bomberman Party Edition,Bomberman Party Edition,Bomberman Party Edition,Bomberman Party Edition
163,2000,Working Designs,0.21,7.25,Lunar 2: Eternal Blue Complete,Vanguard Bandits,Lunar 2: Eternal Blue Complete,Vanguard Bandits
164,2001,3DO,0.0325,6.25,Portal Runner,Army Men Advance,Portal Runner,High Heat Major League Baseball 2002
165,2001,AIA,0.0,6.4,Dokapon: Monster Hunter,Dokapon: Monster Hunter,Dokapon: Monster Hunter,Dokapon: Monster Hunter
166,2001,Acclaim Entertainment,0.2675,7.025,18 Wheeler: American Pro Trucker,XGIII: Extreme G Racing,XGIII: Extreme G Racing,18 Wheeler: American Pro Trucker
167,2001,Activision,1.445,7.925,Tony Hawk's Pro Skater 3,Alienators: Evolution Continues,Bomberman Tournament,Alienators: Evolution Continues
168,2001,Agetec,0.08333333333333333,6.833333333333333,The King of Fighters '99,Boxing,The King of Fighters: Evolution,Boxing
169,2001,BAM! Entertainment,0.1525,7.25,Dexter's Laboratory Deesaster Strikes,Driven,Fire ProWrestling,Dexter's Laboratory Deesaster Strikes
170,2001,Capcom,0.262,7.3,Capcom vs. SNK 2: Mark of the Millennium 2001,Capcom vs. SNK: Millennium Fight 2000 Pro,Final Fight One,Resident Evil 3: Nemesis
171,2001,Conspiracy Entertainment,0.0,7.0,Gadget Racers,Gadget Racers,Gadget Racers,Gadget Racers
172,2001,Crave Entertainment,0.11333333333333333,4.233333333333333,Blaster Master: Blasting Again,The Flintstones: Big Trouble in Bedrock,Blaster Master: Blasting Again,Kabuki Warriors
173,2001,EA Sports,0.61,8.6,Madden NFL 2002,Madden NFL 2002,Madden NFL 2002,Madden NFL 2002
174,2001,EA Sports BIG,2.27,8.4,SSX Tricky,SSX Tricky,SSX Tricky,SSX Tricky
175,2001,Electronic Arts,1.9066666666666665,6.1000000000000005,The Simpsons: Road Rage,Cel Damage,Harry Potter and the Sorcerer's Stone,Cel Damage
176,2001,Gathering of Developers,2.29,8.25,Max Payne,Tropico,Tropico,Max Payne
177,2001,Infogrames,0.08,7.9,Alone in the Dark: The New Nightmare,Sid Meier's Civilization III,Sid Meier's Civilization III,Alone in the Dark: The New Nightmare
178,2001,Kemco,0.05,5.05,Universal Studios Theme Parks Adventure,Phalanx,Universal Studios Theme Parks Adventure,Phalanx
179,2001,Konami,0.45916666666666667,6.308333333333334,Frogger's Adventures: Temple of the Frog,ESPN Great Outdoor Games Bass 2002,Ring of Red,Frogger: The Great Quest
180,2001,LEGO Media,0.06,6.4,LEGO Bionicle,LEGO Bionicle,LEGO Bionicle,LEGO Bionicle
181,2001,LucasArts,1.9,9.2,Star Wars Rogue Leader: Rogue Squadron II,Star Wars Rogue Leader: Rogue Squadron II,Star Wars Rogue Leader: Rogue Squadron II,Star Wars Rogue Leader: Rogue Squadron II
182,2001,Majesco,0.315,6.916666666666667,F-14 Tomcat,Denki Blocks!,Denki Blocks!,Iridion 3D
183,2001,Metro 3D,0.09,4.6,Dark Angel: Vampire Apocalypse,Dark Angel: Vampire Apocalypse,Dark Angel: Vampire Apocalypse,Dark Angel: Vampire Apocalypse
184,2001,Microsoft,0.47,7.9,Shenmue II,Shenmue II,Shenmue II,Shenmue II
185,2001,Midway Games,0.14,6.15,Shadow Hearts,Cruis'n Velocity,Shadow Hearts,Cruis'n Velocity
186,2001,Namco,0.355,7.975,Tales of Destiny II,Klonoa: Empire of Dreams,Klonoa 2: Lunatea's Veil,Vampire Night
187,2001,Natsume,0.4,7.8,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland,Harvest Moon: Save the Homeland
188,2001,NewKidCo,0.01,3.5,E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial,E.T. The Extra-Terrestrial
189,2001,Nintendo,0.9683333333333333,8.283333333333333,The Legend of Zelda: Oracle of Ages,KuruKuru Kururin,Advance Wars,Dr. Mario 64
190,2001,Rare,0.77,9.2,Conker's Bad Fur Day,Conker's Bad Fur Day,Conker's Bad Fur Day,Conker's Bad Fur Day
191,2001,Rockstar Games,13.11,9.1,Grand Theft Auto III,Grand Theft Auto III,Grand Theft Auto III,Grand Theft Auto III
192,2001,Sega,0.3114285714285714,8.585714285714285,Super Monkey Ball,The Typing of the Dead,Super Monkey Ball,ChuChu Rocket!
193,2001,Sierra Entertainment,0.6,8.4,Half-Life,Half-Life,Half-Life,Half-Life
194,2001,Sony Computer Entertainment,1.6216666666666668,8.383333333333333,Jak and Daxter: The Precursor Legacy,Formula One 2001,Jak and Daxter: The Precursor Legacy,Formula One 2001
195,2001,Square,0.52,9.2,Final Fantasy Chronicles,Final Fantasy Chronicles,Final Fantasy Chronicles,Final Fantasy Chronicles
196,2001,THQ,0.4614285714285714,7.2,Red Faction,Hot Wheels: Burnin' Rubber,Red Faction,Aidyn Chronicles: The First Mage
197,2001,Telegames,0.0,5.2,BackTrack,BackTrack,BackTrack,BackTrack
198,2001,Titus,0.01,3.9,Kao the Kangaroo,Kao the Kangaroo,Kao the Kangaroo,Kao the Kangaroo
199,2001,Ubisoft,0.35250000000000004,7.025,Batman: Vengeance,American Bass Challenge,Rayman 2: Revolution,Batman: Vengeance
200,2001,Universal Interactive,6.01,6.0,Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex,Crash Bandicoot: The Wrath of Cortex
201,2002,3DO,0.09,6.05,Army Men: RTS,High Heat Major League Baseball 2003,Army Men: RTS,High Heat Major League Baseball 2003
202,2002,Acclaim Entertainment,0.23111111111111113,6.777777777777778,Aggressive Inline,Dave Mirra Freestyle BMX 3,Dave Mirra Freestyle BMX 3,Jeremy McGrath Supercross World
203,2002,Activision,1.2936363636363637,7.618181818181818,Spider-Man: The Movie,Medieval: Total War,Tony Hawk's Pro Skater 4,The Invincible Iron Man
204,2002,Atari,0.3733333333333333,6.7444444444444445,RollerCoaster Tycoon 2,Unreal Tournament 2003,Unreal Tournament 2003,Godzilla: Domination!
205,2002,Atlus,0.24,7.7,Tactics Ogre: The Knight of Lodis,Dual Hearts,Tactics Ogre: The Knight of Lodis,Cubivore: Survival of the Fittest
206,2002,BAM! Entertainment,0.19,5.84,The Powerpuff Girls: Relish Rampage,Kong: The Animated Series,Broken Sword: The Shadow of the Templars,The Powerpuff Girls: Relish Rampage
207,2002,Bethesda Softworks,2.86,8.2,The Elder Scrolls III: Morrowind,The Elder Scrolls III: Morrowind,The Elder Scrolls III: Morrowind,The Elder Scrolls III: Morrowind
208,2002,Capcom,0.435,8.2,Maximo: Ghosts to Glory,Steel Battalion,Maximo: Ghosts to Glory,Steel Battalion
209,2002,Conspiracy Entertainment,1.06,5.6,Seek and Destroy,Seek and Destroy,Seek and Destroy,Seek and Destroy
210,2002,Crave Entertainment,0.04,7.9,Ultimate Fighting Championship: Throwdown,Freedom Force,Freedom Force,Ultimate Fighting Championship: Throwdown
211,2002,"Destination Software, Inc",0.17,7.7,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance,Baldur's Gate: Dark Alliance
212,2002,Disney Interactive Studios,0.495,5.825,Disney's Lilo & Stitch,Disney's Peter Pan: Return to Never Land,Disney's Lilo & Stitch,Disney's Peter Pan: Return to Never Land
213,2002,DreamCatcher Interactive,0.0,7.1,Extreme Ghostbusters,Extreme Ghostbusters,Extreme Ghostbusters,Extreme Ghostbusters
214,2002,EA Sports,1.0133333333333334,8.299999999999999,Madden NFL 2003,FIFA Soccer 2003,NCAA Football 2003,FIFA Soccer 2003
215,2002,Eidos Interactive,0.39666666666666667,7.8999999999999995,TimeSplitters 2,Deus Ex: The Conspiracy,TimeSplitters 2,Mister Mosquito
216,2002,Electronic Arts,2.272727272727273,7.3090909090909095,Medal of Honor: Frontline,Medal of Honor: Allied Assault,Medal of Honor: Allied Assault,Galidor: Defenders of the Outer Dimension
217,2002,Enix,0.38,6.7,Grandia Xtreme,Grandia Xtreme,Grandia Xtreme,Grandia Xtreme
218,2002,Gathering of Developers,0.74,6.5,Mafia,Mafia,Mafia,Mafia
219,2002,Infogrames,0.655,6.25,Dragon Ball Z: The Legacy of Goku,Monopoly Party,Monopoly Party,Zapper: One Wicked Cricket!
220,2002,Interplay,0.48,7.1,Hunter: The Reckoning,Hunter: The Reckoning,Hunter: The Reckoning,Hunter: The Reckoning
221,2002,KOEI,0.09,6.8,Mystic Heroes,Mystic Heroes,Mystic Heroes,Mystic Heroes
222,2002,Kemco,0.0,7.533333333333334,Boulder Dash EX,Boulder Dash EX,Boulder Dash EX,Egg Mania
223,2002,Knowledge Adventure,0.25,6.0,Butt Ugly Martians: B.K.M. Battles,Butt Ugly Martians: B.K.M. Battles,Butt Ugly Martians: B.K.M. Battles,Butt Ugly Martians: B.K.M. Battles
224,2002,Konami,0.346875,6.5875,Metal Gear Solid 2: Substance,AirForce Delta Storm,Castlevania: Harmony of Dissonance,Disney Sports Skateboarding
225,2002,LucasArts,0.3133333333333333,7.3999999999999995,Star Wars: Clone Wars,Star Wars Jedi Knight II: Jedi Outcast,Star Wars Racer Revenge,Star Wars Jedi Knight II: Jedi Outcast
226,2002,Majesco,0.1075,6.3625,BloodRayne,David Beckham Soccer,Bomberman Generation,David Beckham Soccer
227,2002,Metro 3D,0.0,6.666666666666667,Aero The Acro-Bat,Aero The Acro-Bat,Aero The Acro-Bat,Dual Blades
228,2002,Microsoft Game Studios,0.56,6.8,Blinx: The Time Sweeper,Blinx: The Time Sweeper,Blinx: The Time Sweeper,Blinx: The Time Sweeper
229,2002,Midway Games,0.5466666666666667,6.333333333333333,Mortal Kombat: Deadly Alliance,Gauntlet: Dark Legacy,Mortal Kombat: Deadly Alliance,Gauntlet: Dark Legacy
230,2002,Mindscape,0.02,7.9,Car Battler Joe,Car Battler Joe,Car Battler Joe,Car Battler Joe
231,2002,Namco,0.8733333333333334,6.466666666666666,Tekken 4,Smashing Drive,Tekken Advance,Smashing Drive
232,2002,Natsume,0.09,6.8,MetropolisMania,MetropolisMania,MetropolisMania,MetropolisMania
233,2002,NewKidCo,0.0,7.9,Muppet Pinball Mayhem,Muppet Pinball Mayhem,Muppet Pinball Mayhem,Muppet Pinball Mayhem
234,2002,Nintendo,0.28200000000000003,6.18,Game & Watch Gallery 4,Doshin the Giant,NBA Courtside 2002,Disney's Magical Mirror Starring Mickey Mouse
235,2002,Rockstar Games,8.975,8.5,Grand Theft Auto: Vice City,State of Emergency,Grand Theft Auto: Vice City,State of Emergency
236,2002,Sammy Corporation,0.06,7.3,Guilty Gear X: Advance Edition,Guilty Gear X: Advance Edition,Guilty Gear X: Advance Edition,Guilty Gear X: Advance Edition
237,2002,Sega,0.2125,7.7,Phantasy Star Online Episode I & II,Rez,NFL 2K3,Gunvalkyrie
238,2002,Sony Computer Entertainment,2.15,8.1,SOCOM: U.S. Navy SEALs,Wild ARMs 3,ATV Offroad Fury 2,Wild ARMs 3
239,2002,Strategy First,0.0,8.4,Trainz,Trainz,Trainz,Trainz
240,2002,TDK Core,0.19,6.1,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates,Dinotopia: The Timestone Pirates
241,2002,TDK Mediactive,0.15,5.5,Shrek Extra Large,Pryzm Chapter One: The Dark Unicorn,Robotech: Battlecry,Shrek Extra Large
242,2002,THQ,0.32384615384615384,6.392307692307692,Red Faction II,GT Advance 3: Pro Concept Racing,Baseball Advance,"Monsters, Inc. Scream Arena"
243,2002,Take-Two Interactive,0.005,6.6,Duke Nukem Advance,Mall Tycoon,Duke Nukem Advance,Mall Tycoon
244,2002,Tecmo,0.2,7.6,Fatal Frame,Fatal Frame,Fatal Frame,Fatal Frame
245,2002,The Adventure Company,0.03,8.0,Syberia,Syberia,Syberia,Syberia
246,2002,Ubisoft,0.52,6.4,Tom Clancy's Splinter Cell,Davis Cup Tennis,Tom Clancy's Splinter Cell,Disney's PK: Out of the Shadows
247,2002,Universal Interactive,0.335,4.1,Barbie Groovy Games,The Scorpion King: Rise of the Akkadian,The Scorpion King: Rise of the Akkadian,Barbie Groovy Games
248,2002,VU Games,0.425,5.05,Spyro: Enter the Dragonfly,4X4 EVO 2,4X4 EVO 2,Spyro: Enter the Dragonfly
249,2002,Vivendi Games,1.73,8.3,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure,Crash Bandicoot: The Huge Adventure
250,2003,3DO,0.01,3.8,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions,Army Men: Air Combat - The Elite Missions
251,2003,Acclaim Entertainment,0.1275,6.8500000000000005,Vexx,Speed Kings,All-Star Baseball 2004,Vexx
252,2003,Activision,0.9785714285714285,7.257142857142857,Tony Hawk's Underground,Call of Duty,Tony Hawk's Underground,X2: Wolverine's Revenge
253,2003,Atari,0.5442857142857143,5.885714285714286,Dragon Ball Z: The Legacy of Goku II,Ikaruga,Ikaruga,BeyBlade VForce: Super Tournament Battle
254,2003,Atlus,0.08833333333333333,7.383333333333333,Disgaea: Hour of Darkness,DemiKids: Dark Version,Disgaea: Hour of Darkness,Go! Go! Hypergrind
255,2003,BAM! Entertainment,0.665,6.3,Starsky & Hutch,Wallace & Gromit in Project Zoo,Wallace & Gromit in Project Zoo,Starsky & Hutch
256,2003,Bandai,0.54,7.459999999999999,.hack//Infection Part 1,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Ultimate Muscle - The Kinnikuman Legacy: Legends vs New Generation,Digimon Battle Spirit 2
257,2003,Bethesda Softworks,1.03,8.3,The Elder Scrolls III: Morrowind Game of the Year Edition,The Elder Scrolls III: Morrowind Game of the Year Edition,The Elder Scrolls III: Morrowind Game of the Year Edition,The Elder Scrolls III: Morrowind Game of the Year Edition
258,2003,Blizzard Entertainment,0.01,7.1,Blackthorne,Blackthorne,Blackthorne,Blackthorne
