,year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
799,2015,Ubisoft,1.835,8.05,Assassin's Creed Syndicate,Zombi,Assassin's Creed Syndicate,Zombi
800,2015,Warner Bros. Interactive,4.11,8.1,Batman: Arkham Knight,Batman: Arkham Knight,Batman: Arkham Knight,Batman: Arkham Knight
801,2015,Xseed Games,0.25,7.35,Story of Seasons,Lord of Magna: Maiden Heaven,Story of Seasons,Lord of Magna: Maiden Heaven
802,2016,2K Games,3.98,6.8,Mafia III,Mafia III,Mafia III,Mafia III
803,2016,2K Sports,5.5600000000000005,8.8,NBA 2K17,NBA 2K17,NBA 2K17,NBA 2K17
804,2016,505 Games,0.02,6.0,Assetto Corsa,Assetto Corsa,Assetto Corsa,Assetto Corsa
805,2016,Activision,8.48,7.9,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare
806,2016,Aksys Games,0.06666666666666667,4.3999999999999995,Zero Escape: Zero Time Dilemma,Aegis of Earth: Protonovus Assault,Zero Escape: Zero Time Dilemma,Langrisser: Re:Incarnation Tensei
807,2016,Atlus,0.37,8.1,Shin Megami Tensei IV: Apocalypse,Shin Megami Tensei IV: Apocalypse,Shin Megami Tensei IV: Apocalypse,Shin Megami Tensei IV: Apocalypse
808,2016,Bethesda Softworks,5.19,8.1,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition
809,2016,Blizzard Entertainment,8.18,8.7,Overwatch,Overwatch,Overwatch,Overwatch
810,2016,Capcom,0.29,8.1,Phoenix Wright: Ace Attorney: Spirit of Justice,Phoenix Wright: Ace Attorney: Spirit of Justice,Phoenix Wright: Ace Attorney: Spirit of Justice,Phoenix Wright: Ace Attorney: Spirit of Justice
811,2016,Codemasters,0.755,8.15,F1 2016,DiRT Rally,DiRT Rally,F1 2016
812,2016,EA Sports,5.72,8.1,Madden NFL 17,Madden NFL 17,Madden NFL 17,Madden NFL 17
813,2016,Electronic Arts,9.843333333333334,8.933333333333334,FIFA 17,Titanfall 2,Battlefield 1,FIFA 17
814,2016,GameMill Entertainment,0.12,1.5,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers
815,2016,GungHo Online Entertainment,0.02,6.5,République,République,République,République
816,2016,Hello Games,2.26,6.8,No Man's Sky,No Man's Sky,No Man's Sky,No Man's Sky
817,2016,Namco Bandai Games,0.365,6.449999999999999,Dragon Ball: Fusions,Project X Zone 2,Project X Zone 2,Dragon Ball: Fusions
818,2016,Natsume,0.09,5.0,Harvest Moon: Skytree Village,Harvest Moon: Skytree Village,Harvest Moon: Skytree Village,Harvest Moon: Skytree Village
819,2016,Nintendo,0.48,7.242857142857143,Mario Party: Star Rush,Picross 3D Round 2,Picross 3D Round 2,Mario Party: Star Rush
820,2016,Sega,0.18000000000000002,7.133333333333333,Sonic Boom: Fire & Ice,Sega 3D Classics Collection,7th Dragon III Code: VFD,Sonic Boom: Fire & Ice
821,2016,Sony Computer Entertainment,0.16,7.9,Gravity Rush Remastered,Gravity Rush Remastered,Gravity Rush Remastered,Gravity Rush Remastered
822,2016,Sony Interactive Entertainment,1.29,7.9,The Last Guardian,The Last Guardian,The Last Guardian,The Last Guardian
823,2016,Square Enix,2.0933333333333333,7.366666666666667,Final Fantasy XV,Final Fantasy Explorers,Final Fantasy XV,World of Final Fantasy
824,2016,Ubisoft,3.98,7.2,Far Cry: Primal,Far Cry: Primal,Far Cry: Primal,Far Cry: Primal
825,2016,WayForward Technologies,0.1,7.7,Shantae and the Pirate's Curse,Shantae and the Pirate's Curse,Shantae and the Pirate's Curse,Shantae and the Pirate's Curse
826,2016,Xseed Games,0.22,7.0,Return to PopoloCrois: A Story of Seasons Fairytale,Return to PopoloCrois: A Story of Seasons Fairytale,Return to PopoloCrois: A Story of Seasons Fairytale,Return to PopoloCrois: A Story of Seasons Fairytale
827,2017,2K Sports,5.99,7.0,NBA 2K18,NBA 2K18,NBA 2K18,NBA 2K18
828,2017,505 Games,0.13,8.8,Stardew Valley,Stardew Valley,Stardew Valley,Stardew Valley
829,2017,8-4,0.03,9.0,Undertale,Undertale,Undertale,Undertale
830,2017,Activision,4.816666666666667,7.633333333333333,Call of Duty: WWII,Skylanders Imaginators,Call of Duty: WWII,Skylanders Imaginators
831,2017,Atlus,0.27,7.9,Etrian Odyssey V: Beyond the Myth,Etrian Odyssey V: Beyond the Myth,Etrian Odyssey V: Beyond the Myth,Etrian Odyssey V: Beyond the Myth
832,2017,Bethesda Softworks,0.9500000000000001,8.25,Wolfenstein II: The New Colossus,Doom (2016),Wolfenstein II: The New Colossus,Doom (2016)
833,2017,Capcom,0.635,7.55,Monster Hunter Stories,Ultra Street Fighter II: The Final Challengers,Monster Hunter Stories,Ultra Street Fighter II: The Final Challengers
834,2017,Deep Silver,0.77,8.3,F1 2017,DiRT 4,DiRT 4,F1 2017
835,2017,DotEmu,0.05,7.4,Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake)
836,2017,EA Sports,10.325000000000001,7.0,FIFA 18,Madden NFL 18,Madden NFL 18,FIFA 18
837,2017,Electronic Arts,2.93,5.8,Need for Speed: Payback,Need for Speed: Payback,Need for Speed: Payback,Need for Speed: Payback
838,2017,GameTrust,0.14,4.8,Has-Been Heroes,Has-Been Heroes,Has-Been Heroes,Has-Been Heroes
839,2017,Grey Box,0.26,4.5,RiME,RiME,RiME,RiME
840,2017,Konami Digital Entertainment,0.87,6.3,Super Bomberman R,Super Bomberman R,Super Bomberman R,Super Bomberman R
841,2017,Marvelous Interactive,0.49,7.9,Story of Seasons: Trio of Towns,Story of Seasons: Trio of Towns,Story of Seasons: Trio of Towns,Story of Seasons: Trio of Towns
842,2017,Microids,0.15,6.1,Gear.Club Unlimited,Gear.Club Unlimited,Gear.Club Unlimited,Gear.Club Unlimited
843,2017,Microsoft Studios,0.75,7.466666666666666,Forza Motorsport 7,Super Lucky's Tale,Forza Motorsport 7,Super Lucky's Tale
844,2017,NIS America,0.07,7.15,Culdcept Revolt,Culdcept Revolt,Culdcept Revolt,RPG Maker: Fes
845,2017,Namco Bandai Games,0.515,7.9,Project CARS 2,Gundam Versus,Project CARS 2,Gundam Versus
846,2017,Nicalis,0.28,9.0,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+
847,2017,Nintendo,0.522,7.529999999999999,Dragon Quest VIII: Journey of the Cursed King,"Snipperclips Plus: Cut It Out, Together!",Metroid: Samus Returns,Mario Party: The Top 100
848,2017,Paradox Interactive,0.16,8.3,Pillars of Eternity,Pillars of Eternity,Pillars of Eternity,Pillars of Eternity
849,2017,Polykid,0.07,5.0,Poi,Poi,Poi,Poi
850,2017,Rising Star Games,0.07,6.0,Cooking Mama: Sweet Shop,Cooking Mama: Sweet Shop,Cooking Mama: Sweet Shop,Cooking Mama: Sweet Shop
851,2017,Sega,0.605,7.1000000000000005,Sonic Forces,Sonic Mania,Sonic Mania,Sonic Forces
852,2017,Sony Interactive Entertainment,0.515,7.4,Everybody's Golf,Knack 2,Everybody's Golf,Knack 2
853,2017,Square Enix,0.05,7.0,I am Setsuna,I am Setsuna,I am Setsuna,I am Setsuna
854,2017,THQ Nordic,0.04,8.0,Sine Mora EX,Sine Mora EX,Sine Mora EX,Sine Mora EX
855,2017,Thomas Happ Games,0.17,7.5,Axiom Verge,Axiom Verge,Axiom Verge,Axiom Verge
856,2017,Ubisoft,1.28,6.720000000000001,Tom Clancy's Ghost Recon Wildlands,Star Trek Bridge Crew,Just Dance 2018,Monopoly for Nintendo Switch
857,2017,Warner Bros. Interactive Entertainment,0.99,6.5,LEGO City Undercover,LEGO Worlds,LEGO City Undercover,LEGO Worlds
858,2017,Xseed Games,0.21,8.0,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star
859,2018,2K Games,0.25,9.4,Sid Meier's Civilization VI,Sid Meier's Civilization VI,Sid Meier's Civilization VI,Sid Meier's Civilization VI
860,2018,505 Games,0.05,8.3,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice
861,2018,Activision,1.11,6.0,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy
862,2018,Aksys Games,0.13,7.0,Little Dragons Café,Little Dragons Café,Little Dragons Café,Little Dragons Café
863,2018,Arc System Works,0.07,8.0,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle
864,2018,Atlus,0.16,7.699999999999999,Radiant Historia: Perfect Chronology,The Alliance Alive,Radiant Historia: Perfect Chronology,The Alliance Alive
865,2018,Bandai Namco Entertainment,0.10400000000000001,8.08,Katamari Damacy Reroll,One Piece: Pirate Warriors 3 - Deluxe Edition,Katamari Damacy Reroll,Ride 3
866,2018,Bethesda Softworks,1.28,5.6,Fallout 76,The Elder Scrolls Online: Summerset,The Elder Scrolls Online: Summerset,Fallout 76
867,2018,Blizzard Entertainment,0.67,9.0,Diablo III: Eternal Collection,Diablo III: Eternal Collection,Diablo III: Eternal Collection,Diablo III: Eternal Collection
868,2018,Capcom,0.49000000000000005,8.42,Monster Hunter: World,Street Fighter 30th Anniversary Collection,Monster Hunter: World,Monster Hunter Generations Ultimate
869,2018,Codemasters,0.7000000000000001,8.5,F1 2018,F1 2018,F1 2018,F1 2018
870,2018,Electronic Arts,0.65,7.133333333333333,FIFA 19,Burnout Paradise Remastered,Burnout Paradise Remastered,FIFA 19
871,2018,FDG Entertainment,0.04,8.0,Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom
872,2018,GameMill Entertainment,0.13,2.0,Nickelodeon Kart Racers,Nickelodeon Kart Racers,Nickelodeon Kart Racers,Nickelodeon Kart Racers
873,2018,Koei Tecmo,0.54,7.0,Attack on Titan 2,Attack on Titan 2,Attack on Titan 2,Attack on Titan 2
874,2018,Maximum Games,0.03,5.0,Agony,Agony,Agony,Agony
875,2018,Merge Games,0.11,9.3,Dead Cells,Dead Cells,Dead Cells,Dead Cells
876,2018,Microids,0.06,6.5,Asterix and Obelix XXL2,Asterix and Obelix XXL2,Asterix and Obelix XXL2,Asterix and Obelix XXL2
877,2018,Microsoft Studios,1.0866666666666667,7.7,Forza Horizon 4,State of Decay 2,Forza Horizon 4,Sea of Thieves
878,2018,NIS America,0.043333333333333335,7.666666666666667,Ys VIII: Lacrimosa of Dana,Happy Birthdays,Happy Birthdays,Penny-Punching Princess
879,2018,Namco Bandai Games,0.51,5.75,Ni no Kuni II: Revenant Kingdom,New Gundam Breaker,Ni no Kuni II: Revenant Kingdom,New Gundam Breaker
880,2018,Nicalis,0.03,7.666666666666667,Blade Strangers,Runner3,Blade Strangers,Code of  Princess EX
881,2018,Nintendo,0.2891666666666667,7.3999999999999995,Detective Pikachu,Dillon's Dead-Heat Breakers,Captain Toad: Treasure Tracker,Kirby: Battle Royale
882,2018,Outright Games,0.01,6.5,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard
883,2018,PM Studios,0.01,7.5,Musynx,Musynx,Musynx,Musynx
884,2018,Rising Star,0.01,7.5,Flipping Death,Flipping Death,Flipping Death,Flipping Death
885,2018,Rockstar Games,13.94,9.8,Red Dead Redemption 2,Red Dead Redemption 2,Red Dead Redemption 2,Red Dead Redemption 2
886,2018,Sega,0.19,8.6,Valkyria Chronicles 4,Valkyria Chronicles 4,Valkyria Chronicles 4,Valkyria Chronicles 4
887,2018,Soedesco,0.05,9.0,Owlboy,Owlboy,Owlboy,Owlboy
888,2018,Sold Out,0.29,8.4,Overcooked! 2,Overcooked! 2,Overcooked! 2,Overcooked! 2
889,2018,Sony Interactive Entertainment,0.71,8.5,Astro Bot Rescue Mission,Astro Bot Rescue Mission,Astro Bot Rescue Mission,Astro Bot Rescue Mission
890,2018,Square Enix,0.635,7.75,Dragon Quest XI: Echoes of an Elusive Age,Lost Sphear,Dragon Quest XI: Echoes of an Elusive Age,Lost Sphear
891,2018,Studio Wildcard,0.08,4.0,ARK: Survival Evolved,ARK: Survival Evolved,ARK: Survival Evolved,ARK: Survival Evolved
892,2018,THQ Nordic,0.030000000000000002,7.5,Battle Chasers: Nightwar,Legend of Kay Anniversary,Battle Chasers: Nightwar,Legend of Kay Anniversary
893,2018,Team 17,0.11,8.4,Overcooked Special Edition,Overcooked Special Edition,Overcooked Special Edition,Overcooked Special Edition
894,2018,Techland,0.04,7.0,Pure Farming 2018,Pure Farming 2018,Pure Farming 2018,Pure Farming 2018
895,2018,Ubisoft,1.7583333333333335,7.55,Far Cry 5,Assassin's Creed Rogue Remastered,Assassin's Creed Odyssey,Assassin's Creed Rogue Remastered
896,2018,Villa Gorilla,0.04,9.0,Yoku's Island Express,Yoku's Island Express,Yoku's Island Express,Yoku's Island Express
897,2018,Warner Bros. Interactive Entertainment,0.7633333333333333,7.6000000000000005,LEGO The Incredibles,LEGO DC Super-Villains,Fortnite,LEGO The Incredibles
898,2018,Xseed Games,0.02,7.0,Gal Metal!,Gal Metal!,Gal Metal!,Gal Metal!
899,2019,NIS America,0.13,7.0,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III
900,2020,Unknown,0.1,7.5,Ridge Racer 2,Ridge Racer 2,Ridge Racer 2,Ridge Racer 2
