year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
2009,Microsoft,0.33,6.7,Ninja Blade,Ninja Blade,Ninja Blade,Ninja Blade
2009,Microsoft Game Studios,5.5,9.2,Forza Motorsport 3,Forza Motorsport 3,Forza Motorsport 3,Forza Motorsport 3
2009,NCSoft,0,7.4,Aion: Tower of Eternity,Aion: Tower of Eternity,Aion: Tower of Eternity,Aion: Tower of Eternity
2009,NIS America,0.16,7,Disgaea 2: Dark Hero Days,Puchi Puchi Virus,Mana Khemia 2: Fall of Alchemy,A Witch's Tale
2009,Namco Bandai,0.431818182,6.336363636,Dragon Ball: Raging Blast,Dragon Ball: Evolution,SoulCalibur: Broken Destiny,Dragon Ball: Evolution
2009,Natsume,0.296666667,7.333333333,Harvest Moon: Sunshine Islands,Harvest Moon: Frantic Farming,Harvest Moon: Sunshine Islands,Afrika
2009,Nintendo,0.555,7.383333333,Fossil Fighters,Another Code R: A Journey into Lost Memories,Metroid Prime: Trilogy,Another Code R: A Journey into Lost Memories
2009,Nippon Ichi Software,0.11,3.2,Mana Khemia: Student Alliance,Mana Khemia: Student Alliance,Mana Khemia: Student Alliance,Mana Khemia: Student Alliance
2009,Nobilis,0.01,8.1,Trine,Trine,Trine,Trine
2009,PM Studios,0.13,7.7,DJ Max Fever,DJ Max Fever,DJ Max Fever,DJ Max Fever
2009,Paradox Interactive,0.065,7.65,Hearts of Iron III,East India Company,Hearts of Iron III,East India Company
2009,Perfect World Entertainment,0.07,8.4,Torchlight,Torchlight,Torchlight,Torchlight
2009,Phantom EFX,0.1,4.6,Darkest of Days,Darkest of Days,Darkest of Days,Darkest of Days
2009,Playlogic Game Factory,0.1425,5.175,Fairytale Fights,Sudoku Ball Detective,Obscure: The Aftermath,Infernal: Hell's Vengeance
2009,PopCap Games,0.01,8.3,Zuma's Revenge!,Zuma's Revenge!,Zuma's Revenge!,Zuma's Revenge!
2009,Rockstar Games,2.403333333,8.7,Grand Theft Auto: Episodes from Liberty City,Beaterator,Grand Theft Auto: Chinatown Wars,Beaterator
2009,Sega,1.508,6.93,Mario & Sonic at the Olympic Winter Games,Football Manager 2010,Football Manager 2010,Stormrise
2009,Sony Computer Entertainment,1.234,8.006666667,Uncharted 2: Among Thieves,LittleBigPlanet: Game of the Year Edition,LittleBigPlanet: Game of the Year Edition,Buzz! Quiz World
2009,SouthPeak Interactive,0.182,6.14,X-Blades,Big Bang Mini,Big Bang Mini,Brave: A Warrior's Tale
2009,Square Enix,0.365,7.225,Final Fantasy Crystal Chronicles: Echoes of Time,The Last Remnant,Star Ocean: Second Evolution,Final Fantasy Crystal Chronicles: The Crystal Bearers
2009,THQ,1.111666667,7,UFC 2009 Undisputed,Are You Smarter than a 5th Grader? Game Time,"Warhammer 40,000: Dawn of War II",Are You Smarter than a 5th Grader? Game Time
2009,Taito,0.19,8.1,Space Invaders Extreme 2,Space Invaders Extreme 2,Space Invaders Extreme 2,Space Invaders Extreme 2
2009,Tecmo,0.12,6.6,Undead Knights,Undead Knights,Undead Knights,Undead Knights
2009,Tecmo Koei,0.91,7.45,Dynasty Warriors: Strikeforce,Ninja Gaiden Sigma 2,Ninja Gaiden Sigma 2,Dynasty Warriors: Strikeforce
2009,UFO Interactive,0.12,7,Raiden IV,Raiden IV,Raiden IV,Raiden IV
2009,Ubisoft,1.275238095,6.776190476,Assassin's Creed II,World in Conflict: Soviet Assault,Might & Magic: Clash of Heroes,James Cameron's Avatar: The Game
2009,Valve,0.36,9,Left 4 Dead 2,Left 4 Dead 2,Left 4 Dead 2,Left 4 Dead 2
2009,Warner Bros. Interactive,0.978,6.42,LEGO Rock Band,Scene It? Bright Lights! Big Screen!,F.E.A.R. 2: Project Origin,Terminator Salvation
