year,publisher,total_sales,critic_score,highestSales,lowestSales,highestScore,lowestScore
2012,Disney Interactive Studios,0.37,6.25,Epic Mickey: Power of Illusion,Disney Epic Mickey 2: The Power of Two,Epic Mickey: Power of Illusion,Disney Epic Mickey 2: The Power of Two
2012,EA Sports,2.916666667,6.766666667,Madden NFL 13,FIFA 13,NCAA Football 13,Madden NFL 13
2012,Electronic Arts,3.956666667,8.166666667,Need for Speed: Most Wanted (2012),NHL 13,Mass Effect 3,Need for Speed: Most Wanted (2012)
2012,Frozenbyte,0.04,7.8,Trine 2: Director's Cut,Trine 2: Director's Cut,Trine 2: Director's Cut,Trine 2: Director's Cut
2012,Konami,0.42,7.9,Metal Gear Solid: Snake Eater 3D,Metal Gear Solid: Snake Eater 3D,Metal Gear Solid: Snake Eater 3D,Metal Gear Solid: Snake Eater 3D
2012,Namco Bandai,0.21,6.5,Tekken 3D: Prime Edition,Tekken 3D: Prime Edition,Tekken 3D: Prime Edition,Tekken 3D: Prime Edition
2012,Namco Bandai Games,0.13,6.4,Tekken Tag Tournament 2,Tank! Tank! Tank!,Tekken Tag Tournament 2,Tank! Tank! Tank!
2012,Natsume,0.95,8.2,Harvest Moon 3D: A New Beginning,Harvest Moon 3D: A New Beginning,Harvest Moon 3D: A New Beginning,Harvest Moon 3D: A New Beginning
2012,Nintendo,0.55,7.225,Xenoblade Chronicles,Nintendo Pocket Football Club,New Play Control! Pikmin 2,Spirit Camera: The Cursed Memoir
2012,Sega,0.676,6.58,London 2012: The Official Video Game of the Olympic Games,Crush3D,Rhythm Thief & the Emperor's Treasure,London 2012: The Official Video Game of the Olympic Games
2012,Sony Computer Entertainment,0.724,7.04,Uncharted: Golden Abyss,MotorStorm RC,MotorStorm RC,Resistance: Burning Skies
2012,Square Enix,2.65,7.9,Final Fantasy XIII-2,Sleeping Dogs,Final Fantasy XIII-2,Final Fantasy XIII-2
2012,THQ,1.8,8.2,Darksiders II,Darksiders II,Darksiders II,Darksiders II
2012,Tecmo Koei,0.98,7.6,Dead or Alive 5,Dead or Alive 5,Dead or Alive 5,Dead or Alive 5
2012,Telltale Games,0.82,9.7,The Walking Dead: A Telltale Games Series,The Walking Dead: A Telltale Games Series,The Walking Dead: A Telltale Games Series,The Walking Dead: A Telltale Games Series
2012,Ubisoft,2.245,5.925,Assassin's Creed III,Rabbids Land,Assassin's Creed III,ESPN: Sports Connection
2012,Warner Bros. Interactive Entertainment,0.375,7.8,Scribblenauts: Unlimited,Batman: Arkham City Armored Edition,Batman: Arkham City Armored Edition,Scribblenauts: Unlimited
2013,2K Games,1.82,9.5,BioShock Infinite,BioShock Infinite,BioShock Infinite,BioShock Infinite
2013,2K Sports,2.32,7.6,WWE 2K14,WWE 2K14,WWE 2K14,WWE 2K14
2013,Activision,14.535,7.3,Call of Duty: Ghosts,Skylanders SWAP Force,Skylanders SWAP Force,Call of Duty: Ghosts
2013,Atlus,0.26,8.1,Etrian Odyssey: Millennium Girl,Etrian Odyssey: Millennium Girl,Etrian Odyssey: Millennium Girl,Etrian Odyssey: Millennium Girl
2013,Capcom,0.38,8.65,Monster Hunter 3 Ultimate,DuckTales: Remastered,Monster Hunter 3 Ultimate,DuckTales: Remastered
2013,Codemasters,0.88,7.7,F1 2013,F1 2013,F1 2013,F1 2013
2013,D3Publisher,0.04,2.8,Adventure Time: Explore the Dungeon Because I Don't Know!,Adventure Time: Explore the Dungeon Because I Don't Know!,Adventure Time: Explore the Dungeon Because I Don't Know!,Adventure Time: Explore the Dungeon Because I Don't Know!
2013,Deep Silver,1.43,5.6,Dead Island: Riptide,Dead Island: Riptide,Dead Island: Riptide,Dead Island: Riptide
2013,Disney Interactive Studios,0.67,7.6,Disney Infinity,Disney Infinity,Disney Infinity,Disney Infinity
2013,EA Sports,4.105,7.35,Madden NFL 25,NCAA Football 14,NCAA Football 14,Madden NFL 25
2013,Electronic Arts,6.475,7.95,Battlefield 4,Crysis 3,Battlefield 4,Crysis 3
2013,Focus Home Interactive,0.39,3,Farming Simulator 2013,Farming Simulator 2013,Farming Simulator 2013,Farming Simulator 2013
2013,Konami Digital Entertainment,1.033333333,8.033333333,Metal Gear Rising: Revengeance,Castlevania: Lords of Shadow - Mirror of Fate,Metal Gear Rising: Revengeance,Castlevania: Lords of Shadow - Mirror of Fate
2013,Namco Bandai Games,0.185,6.6,Star Trek: The Game,Naruto Powerful Shippuden,Naruto Powerful Shippuden,Star Trek: The Game
2013,Natsume,0.5,5.5,Hometown Story,Hometown Story,Hometown Story,Hometown Story
2013,Nintendo,0.354,6.66,Mario & Sonic at the Sochi 2014 Olympic Winter Games,Pokémon Rumble U,The Wonderful 101,Pokémon Rumble U
2013,Rockstar Games,48.43,9,Grand Theft Auto V,Grand Theft Auto V,Grand Theft Auto V,Grand Theft Auto V
2013,Sega,0.85,5.2,Sonic Lost World,Sonic Lost World,Sonic Lost World,Sonic Lost World
2013,Sony Computer Entertainment,0.21,5,Move Fitness,Move Fitness,Move Fitness,Move Fitness
2013,Sony Computer Entertainment America,0.955,7.5,MLB 13: The Show,Killzone: Mercenary,MLB 13: The Show,Killzone: Mercenary
2013,Square Enix,4.41,8.5,Tomb Raider (2013),Tomb Raider (2013),Tomb Raider (2013),Tomb Raider (2013)
2013,Tecmo Koei,0.2,6.5,Fist of the North Star: Ken's Rage 2,Dead or Alive 5 Plus,Dead or Alive 5 Plus,Fist of the North Star: Ken's Rage 2
2013,The Fullbright Company,0,9.1,Gone Home,Gone Home,Gone Home,Gone Home
2013,Ubisoft,5.398,7.38,Assassin's Creed IV: Black Flag,Rayman Legends,Rocksmith 2014,Rayman Legends
2013,Warner Bros. Interactive Entertainment,0.27,7,Batman: Arkham Origins Blackgate,Batman: Arkham Origins Blackgate,Batman: Arkham Origins Blackgate,Batman: Arkham Origins Blackgate
2014,Activision,12.595,8.3,Call of Duty: Advanced Warfare,Destiny,Call of Duty: Advanced Warfare,Call of Duty: Advanced Warfare
2014,Aksys Games,0.2,7,Arcana Heart 3,Arcana Heart 3,Arcana Heart 3,Arcana Heart 3
2014,Bethesda Softworks,2.55,7.7,The Evil Within,The Evil Within,The Evil Within,The Evil Within
2014,Codemasters,0.23,6.5,F1 2014,F1 2014,F1 2014,F1 2014
2014,Deep Silver,0.11,7,NASCAR '14,NASCAR '14,NASCAR '14,NASCAR '14
2014,Disney Interactive Studios,0.75,8,Disney Infinity 2.0: Marvel Super Heroes,Disney Infinity 2.0: Marvel Super Heroes,Disney Infinity 2.0: Marvel Super Heroes,Disney Infinity 2.0: Marvel Super Heroes
2014,EA Sports,8.69,7.1,FIFA 15,2014 FIFA World Cup Brazil,2014 FIFA World Cup Brazil,FIFA 15
2014,Electronic Arts,2.76,7.733333333,The Sims 4,Plants vs Zombies: Garden Warfare,Dragon Age: Inquisition,The Sims 4
2014,Konami Digital Entertainment,2.2,7.6,Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes,Metal Gear Solid V: Ground Zeroes
2014,Microsoft Studios,2.3,8.4,Halo: The Master Chief Collection,Sunset Overdrive,Halo: The Master Chief Collection,Sunset Overdrive
2014,Mojang,10.06,5.5,Minecraft,Minecraft,Minecraft,Minecraft
2014,NIS America,0.48,6.4,Atelier Rorona: Alchemist of Arland,Atelier Rorona: Alchemist of Arland,Atelier Rorona: Alchemist of Arland,Atelier Rorona: Alchemist of Arland
2014,Namco Bandai Games,0.02,4.5,Tenkai Knights: Brave Battle,Tenkai Knights: Brave Battle,Tenkai Knights: Brave Battle,Tenkai Knights: Brave Battle
2014,Nintendo,0.598571429,7.557142857,Wii Fit U,Ultimate NES Remix,Mario Golf: World Tour,Wii Sports Club
2014,Rain Games,0,7,Teslagrad,Teslagrad,Teslagrad,Teslagrad
2014,Sega,0.24,4.433333333,Sonic Boom: Rise of Lyric,Football Manager Classic 2014,Football Manager Classic 2014,Sonic Boom: Rise of Lyric
2014,Sony Computer Entertainment,1.28,7.1,MLB 14 The Show,MLB 14 The Show,MLB 14 The Show,MLB 14 The Show
2014,Square Enix,0.78,6.95,Lightning Returns: Final Fantasy XIII,Sleeping Dogs: Definitive Edition,Sleeping Dogs: Definitive Edition,Lightning Returns: Final Fantasy XIII
2014,Ubisoft,3.465,8.25,Far Cry 4,Just Dance 2015,Far Cry 4,Just Dance 2015
2014,Unknown,0.38,8.1,Phoenix Wright: Ace Attorney - Dual Destinies,Phoenix Wright: Ace Attorney - Dual Destinies,Phoenix Wright: Ace Attorney - Dual Destinies,Phoenix Wright: Ace Attorney - Dual Destinies
2014,Warner Bros. Interactive Entertainment,0.47,6.8,The LEGO Movie Videogame,LEGO The Hobbit,Lego Batman 3: Beyond Gotham,The LEGO Movie Videogame
2015,2K Sports,6.39,8.3,NBA 2K16,NBA 2K16,NBA 2K16,NBA 2K16
2015,505 Games,2.18,6.5,Rocket League,Payday 2,Rocket League,Payday 2
2015,Activision,7.84,8.05,Call of Duty: Black Ops 3,Skylanders: SuperChargers,Call of Duty: Black Ops 3,Skylanders: SuperChargers
2015,Atlus,0.22,7.5,The Legend of Legacy,Shin Megami Tensei: Devil Survivor 2 Record Breaker,Shin Megami Tensei: Devil Survivor 2 Record Breaker,The Legend of Legacy
2015,Bethesda Softworks,6.83,8.2,Fallout 4,Wolfenstein: The Old Blood,Fallout 4,Wolfenstein: The Old Blood
2015,Blizzard Entertainment,0.57,8.8,StarCraft II: Legacy of the Void,StarCraft II: Legacy of the Void,StarCraft II: Legacy of the Void,StarCraft II: Legacy of the Void
2015,Codemasters,0.93,5.7,F1 2015,F1 2015,F1 2015,F1 2015
2015,Deep Silver,0.07,1,Risen 3: Titan Lords Enhanced Edition,Risen 3: Titan Lords Enhanced Edition,Risen 3: Titan Lords Enhanced Edition,Risen 3: Titan Lords Enhanced Edition
2015,EA Sports,11.705,8.25,FIFA 16,Madden NFL 16,FIFA 16,Madden NFL 16
2015,Electronic Arts,8.065,6.8,Star Wars Battlefront (2015),Need for Speed (2015),Star Wars Battlefront (2015),Need for Speed (2015)
2015,NIS America,0.14,7,Rodea the Sky Soldier,Rodea the Sky Soldier,Rodea the Sky Soldier,Rodea the Sky Soldier
2015,Namco Bandai Games,0.35,5,Dragon Ball Z: Extreme Butoden,Dragon Ball Z: Extreme Butoden,Dragon Ball Z: Extreme Butoden,Dragon Ball Z: Extreme Butoden
2015,Nintendo,0.346,6.49,Xenoblade Chronicles X,Devil's Third,Kirby and the Rainbow Curse,Devil's Third
2015,Nordic Games,0.32,7.5,Darksiders II: Deathinitive Edition,Darksiders II: Deathinitive Edition,Darksiders II: Deathinitive Edition,Darksiders II: Deathinitive Edition
2015,Sega,0.38,7.5,Hatsune Miku: Project Mirai DX,Hatsune Miku: Project Mirai DX,Hatsune Miku: Project Mirai DX,Hatsune Miku: Project Mirai DX
2015,Shin'en,0.01,8.1,Fast Racing Neo,Fast Racing Neo,Fast Racing Neo,Fast Racing Neo
2015,Sony Computer Entertainment,1.62,6.2,The Order: 1886,The Order: 1886,The Order: 1886,The Order: 1886
2015,Square Enix,2.025,8.15,Just Cause 3,Final Fantasy X / X-2 HD Remaster,Final Fantasy X / X-2 HD Remaster,Just Cause 3
2015,Tecmo Koei,0.45,7.1,Dead or Alive 5 Last Round,Dead or Alive 5 Last Round,Dead or Alive 5 Last Round,Dead or Alive 5 Last Round
2015,Ubisoft,1.835,8.05,Assassin's Creed Syndicate,Zombi,Assassin's Creed Syndicate,Zombi
2015,Warner Bros. Interactive,4.11,8.1,Batman: Arkham Knight,Batman: Arkham Knight,Batman: Arkham Knight,Batman: Arkham Knight
2015,Xseed Games,0.25,7.35,Story of Seasons,Lord of Magna: Maiden Heaven,Story of Seasons,Lord of Magna: Maiden Heaven
2016,2K Games,3.98,6.8,Mafia III,Mafia III,Mafia III,Mafia III
2016,2K Sports,5.56,8.8,NBA 2K17,NBA 2K17,NBA 2K17,NBA 2K17
2016,505 Games,0.02,6,Assetto Corsa,Assetto Corsa,Assetto Corsa,Assetto Corsa
2016,Activision,8.48,7.9,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare,Call of Duty: Infinite Warfare
2016,Aksys Games,0.066666667,4.4,Zero Escape: Zero Time Dilemma,Aegis of Earth: Protonovus Assault,Zero Escape: Zero Time Dilemma,Langrisser: Re:Incarnation Tensei
2016,Atlus,0.37,8.1,Shin Megami Tensei IV: Apocalypse,Shin Megami Tensei IV: Apocalypse,Shin Megami Tensei IV: Apocalypse,Shin Megami Tensei IV: Apocalypse
2016,Bethesda Softworks,5.19,8.1,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition,The Elder Scrolls V: Skyrim Special Edition
2016,Blizzard Entertainment,8.18,8.7,Overwatch,Overwatch,Overwatch,Overwatch
2016,Capcom,0.29,8.1,Phoenix Wright: Ace Attorney: Spirit of Justice,Phoenix Wright: Ace Attorney: Spirit of Justice,Phoenix Wright: Ace Attorney: Spirit of Justice,Phoenix Wright: Ace Attorney: Spirit of Justice
2016,Codemasters,0.755,8.15,F1 2016,DiRT Rally,DiRT Rally,F1 2016
2016,EA Sports,5.72,8.1,Madden NFL 17,Madden NFL 17,Madden NFL 17,Madden NFL 17
2016,Electronic Arts,9.843333333,8.933333333,FIFA 17,Titanfall 2,Battlefield 1,FIFA 17
2016,GameMill Entertainment,0.12,1.5,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers,Cartoon Network: Battle Crashers
2016,GungHo Online Entertainment,0.02,6.5,République,République,République,République
2016,Hello Games,2.26,6.8,No Man's Sky,No Man's Sky,No Man's Sky,No Man's Sky
2016,Namco Bandai Games,0.365,6.45,Dragon Ball: Fusions,Project X Zone 2,Project X Zone 2,Dragon Ball: Fusions
2016,Natsume,0.09,5,Harvest Moon: Skytree Village,Harvest Moon: Skytree Village,Harvest Moon: Skytree Village,Harvest Moon: Skytree Village
2016,Nintendo,0.48,7.242857143,Mario Party: Star Rush,Picross 3D Round 2,Picross 3D Round 2,Mario Party: Star Rush
2016,Sega,0.18,7.133333333,Sonic Boom: Fire & Ice,Sega 3D Classics Collection,7th Dragon III Code: VFD,Sonic Boom: Fire & Ice
2016,Sony Computer Entertainment,0.16,7.9,Gravity Rush Remastered,Gravity Rush Remastered,Gravity Rush Remastered,Gravity Rush Remastered
2016,Sony Interactive Entertainment,1.29,7.9,The Last Guardian,The Last Guardian,The Last Guardian,The Last Guardian
2016,Square Enix,2.093333333,7.366666667,Final Fantasy XV,Final Fantasy Explorers,Final Fantasy XV,World of Final Fantasy
2016,Ubisoft,3.98,7.2,Far Cry: Primal,Far Cry: Primal,Far Cry: Primal,Far Cry: Primal
2016,WayForward Technologies,0.1,7.7,Shantae and the Pirate's Curse,Shantae and the Pirate's Curse,Shantae and the Pirate's Curse,Shantae and the Pirate's Curse
2016,Xseed Games,0.22,7,Return to PopoloCrois: A Story of Seasons Fairytale,Return to PopoloCrois: A Story of Seasons Fairytale,Return to PopoloCrois: A Story of Seasons Fairytale,Return to PopoloCrois: A Story of Seasons Fairytale
2017,2K Sports,5.99,7,NBA 2K18,NBA 2K18,NBA 2K18,NBA 2K18
2017,505 Games,0.13,8.8,Stardew Valley,Stardew Valley,Stardew Valley,Stardew Valley
2017,4-Aug,0.03,9,Undertale,Undertale,Undertale,Undertale
2017,Activision,4.816666667,7.633333333,Call of Duty: WWII,Skylanders Imaginators,Call of Duty: WWII,Skylanders Imaginators
2017,Atlus,0.27,7.9,Etrian Odyssey V: Beyond the Myth,Etrian Odyssey V: Beyond the Myth,Etrian Odyssey V: Beyond the Myth,Etrian Odyssey V: Beyond the Myth
2017,Bethesda Softworks,0.95,8.25,Wolfenstein II: The New Colossus,Doom (2016),Wolfenstein II: The New Colossus,Doom (2016)
2017,Capcom,0.635,7.55,Monster Hunter Stories,Ultra Street Fighter II: The Final Challengers,Monster Hunter Stories,Ultra Street Fighter II: The Final Challengers
2017,Deep Silver,0.77,8.3,F1 2017,DiRT 4,DiRT 4,F1 2017
2017,DotEmu,0.05,7.4,Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake)
2017,EA Sports,10.325,7,FIFA 18,Madden NFL 18,Madden NFL 18,FIFA 18
2017,Electronic Arts,2.93,5.8,Need for Speed: Payback,Need for Speed: Payback,Need for Speed: Payback,Need for Speed: Payback
2017,GameTrust,0.14,4.8,Has-Been Heroes,Has-Been Heroes,Has-Been Heroes,Has-Been Heroes
2017,Grey Box,0.26,4.5,RiME,RiME,RiME,RiME
2017,Konami Digital Entertainment,0.87,6.3,Super Bomberman R,Super Bomberman R,Super Bomberman R,Super Bomberman R
2017,Marvelous Interactive,0.49,7.9,Story of Seasons: Trio of Towns,Story of Seasons: Trio of Towns,Story of Seasons: Trio of Towns,Story of Seasons: Trio of Towns
2017,Microids,0.15,6.1,Gear.Club Unlimited,Gear.Club Unlimited,Gear.Club Unlimited,Gear.Club Unlimited
2017,Microsoft Studios,0.75,7.466666667,Forza Motorsport 7,Super Lucky's Tale,Forza Motorsport 7,Super Lucky's Tale
2017,NIS America,0.07,7.15,Culdcept Revolt,Culdcept Revolt,Culdcept Revolt,RPG Maker: Fes
2017,Namco Bandai Games,0.515,7.9,Project CARS 2,Gundam Versus,Project CARS 2,Gundam Versus
2017,Nicalis,0.28,9,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+,The Binding of Isaac: Afterbirth+
2017,Nintendo,0.522,7.53,Dragon Quest VIII: Journey of the Cursed King,"Snipperclips Plus: Cut It Out, Together!",Metroid: Samus Returns,Mario Party: The Top 100
2017,Paradox Interactive,0.16,8.3,Pillars of Eternity,Pillars of Eternity,Pillars of Eternity,Pillars of Eternity
2017,Polykid,0.07,5,Poi,Poi,Poi,Poi
2017,Rising Star Games,0.07,6,Cooking Mama: Sweet Shop,Cooking Mama: Sweet Shop,Cooking Mama: Sweet Shop,Cooking Mama: Sweet Shop
2017,Sega,0.605,7.1,Sonic Forces,Sonic Mania,Sonic Mania,Sonic Forces
2017,Sony Interactive Entertainment,0.515,7.4,Everybody's Golf,Knack 2,Everybody's Golf,Knack 2
2017,Square Enix,0.05,7,I am Setsuna,I am Setsuna,I am Setsuna,I am Setsuna
2017,THQ Nordic,0.04,8,Sine Mora EX,Sine Mora EX,Sine Mora EX,Sine Mora EX
2017,Thomas Happ Games,0.17,7.5,Axiom Verge,Axiom Verge,Axiom Verge,Axiom Verge
2017,Ubisoft,1.28,6.72,Tom Clancy's Ghost Recon Wildlands,Star Trek Bridge Crew,Just Dance 2018,Monopoly for Nintendo Switch
2017,Warner Bros. Interactive Entertainment,0.99,6.5,LEGO City Undercover,LEGO Worlds,LEGO City Undercover,LEGO Worlds
2017,Xseed Games,0.21,8,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star,Fate/Extella: The Umbral Star
2018,2K Games,0.25,9.4,Sid Meier's Civilization VI,Sid Meier's Civilization VI,Sid Meier's Civilization VI,Sid Meier's Civilization VI
2018,505 Games,0.05,8.3,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice,Hellblade: Senua's Sacrifice
2018,Activision,1.11,6,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy
2018,Aksys Games,0.13,7,Little Dragons Café,Little Dragons Café,Little Dragons Café,Little Dragons Café
2018,Arc System Works,0.07,8,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle,BlazBlue: Cross Tag Battle
2018,Atlus,0.16,7.7,Radiant Historia: Perfect Chronology,The Alliance Alive,Radiant Historia: Perfect Chronology,The Alliance Alive
2018,Bandai Namco Entertainment,0.104,8.08,Katamari Damacy Reroll,One Piece: Pirate Warriors 3 - Deluxe Edition,Katamari Damacy Reroll,Ride 3
2018,Bethesda Softworks,1.28,5.6,Fallout 76,The Elder Scrolls Online: Summerset,The Elder Scrolls Online: Summerset,Fallout 76
2018,Blizzard Entertainment,0.67,9,Diablo III: Eternal Collection,Diablo III: Eternal Collection,Diablo III: Eternal Collection,Diablo III: Eternal Collection
2018,Capcom,0.49,8.42,Monster Hunter: World,Street Fighter 30th Anniversary Collection,Monster Hunter: World,Monster Hunter Generations Ultimate
2018,Codemasters,0.7,8.5,F1 2018,F1 2018,F1 2018,F1 2018
2018,Electronic Arts,0.65,7.133333333,FIFA 19,Burnout Paradise Remastered,Burnout Paradise Remastered,FIFA 19
2018,FDG Entertainment,0.04,8,Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom,Monster Boy and the Cursed Kingdom
2018,GameMill Entertainment,0.13,2,Nickelodeon Kart Racers,Nickelodeon Kart Racers,Nickelodeon Kart Racers,Nickelodeon Kart Racers
2018,Koei Tecmo,0.54,7,Attack on Titan 2,Attack on Titan 2,Attack on Titan 2,Attack on Titan 2
2018,Maximum Games,0.03,5,Agony,Agony,Agony,Agony
2018,Merge Games,0.11,9.3,Dead Cells,Dead Cells,Dead Cells,Dead Cells
2018,Microids,0.06,6.5,Asterix and Obelix XXL2,Asterix and Obelix XXL2,Asterix and Obelix XXL2,Asterix and Obelix XXL2
2018,Microsoft Studios,1.086666667,7.7,Forza Horizon 4,State of Decay 2,Forza Horizon 4,Sea of Thieves
2018,NIS America,0.043333333,7.666666667,Ys VIII: Lacrimosa of Dana,Happy Birthdays,Happy Birthdays,Penny-Punching Princess
2018,Namco Bandai Games,0.51,5.75,Ni no Kuni II: Revenant Kingdom,New Gundam Breaker,Ni no Kuni II: Revenant Kingdom,New Gundam Breaker
2018,Nicalis,0.03,7.666666667,Blade Strangers,Runner3,Blade Strangers,Code of  Princess EX
2018,Nintendo,0.289166667,7.4,Detective Pikachu,Dillon's Dead-Heat Breakers,Captain Toad: Treasure Tracker,Kirby: Battle Royale
2018,Outright Games,0.01,6.5,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard
2018,PM Studios,0.01,7.5,Musynx,Musynx,Musynx,Musynx
2018,Rising Star,0.01,7.5,Flipping Death,Flipping Death,Flipping Death,Flipping Death
2018,Rockstar Games,13.94,9.8,Red Dead Redemption 2,Red Dead Redemption 2,Red Dead Redemption 2,Red Dead Redemption 2
2018,Sega,0.19,8.6,Valkyria Chronicles 4,Valkyria Chronicles 4,Valkyria Chronicles 4,Valkyria Chronicles 4
2018,Soedesco,0.05,9,Owlboy,Owlboy,Owlboy,Owlboy
2018,Sold Out,0.29,8.4,Overcooked! 2,Overcooked! 2,Overcooked! 2,Overcooked! 2
2018,Sony Interactive Entertainment,0.71,8.5,Astro Bot Rescue Mission,Astro Bot Rescue Mission,Astro Bot Rescue Mission,Astro Bot Rescue Mission
2018,Square Enix,0.635,7.75,Dragon Quest XI: Echoes of an Elusive Age,Lost Sphear,Dragon Quest XI: Echoes of an Elusive Age,Lost Sphear
2018,Studio Wildcard,0.08,4,ARK: Survival Evolved,ARK: Survival Evolved,ARK: Survival Evolved,ARK: Survival Evolved
2018,THQ Nordic,0.03,7.5,Battle Chasers: Nightwar,Legend of Kay Anniversary,Battle Chasers: Nightwar,Legend of Kay Anniversary
2018,Team 17,0.11,8.4,Overcooked Special Edition,Overcooked Special Edition,Overcooked Special Edition,Overcooked Special Edition
2018,Techland,0.04,7,Pure Farming 2018,Pure Farming 2018,Pure Farming 2018,Pure Farming 2018
2018,Ubisoft,1.758333333,7.55,Far Cry 5,Assassin's Creed Rogue Remastered,Assassin's Creed Odyssey,Assassin's Creed Rogue Remastered
2018,Villa Gorilla,0.04,9,Yoku's Island Express,Yoku's Island Express,Yoku's Island Express,Yoku's Island Express
2018,Warner Bros. Interactive Entertainment,0.763333333,7.6,LEGO The Incredibles,LEGO DC Super-Villains,Fortnite,LEGO The Incredibles
2018,Xseed Games,0.02,7,Gal Metal!,Gal Metal!,Gal Metal!,Gal Metal!
2019,NIS America,0.13,7,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III,The Legend of Heroes: Trails of Cold Steel III
2020,Unknown,0.1,7.5,Ridge Racer 2,Ridge Racer 2,Ridge Racer 2,Ridge Racer 2
