title,total_sales,release_date,critic_score,genre,publisher
.hack//G.U. Vol.2//Reminisce,0.23,2007-05-08,6.2,Role-Playing,Namco Bandai
.hack//G.U. Vol.3//Redemption,0.17,2007-09-10,5.7,Role-Playing,Namco Bandai
.hack//Infection Part 1,1.27,2003-02-11,7.7,Role-Playing,Bandai
.hack//Mutation Part 2,0.68,2003-05-07,7.5,Role-Playing,Bandai
.hack//Outbreak Part 3,0.46,2003-09-09,7.1,Role-Playing,Bandai
.hack//Quarantine Part 4: The Final Chapter,0.18,2004-01-14,6.8,Role-Playing,Bandai
007 Legends,0.13,2012-12-11,4.2,Shooter,Activision
007 Racing,0.53,2000-11-20,6.1,Racing,Electronic Arts
007: Quantum of Solace,3.86,2008-11-04,5.6,Action,Activision
007: The World is Not Enough,1.55,2000-10-17,7.4,Shooter,Electronic Arts
007: The World is not Enough,0.92,2000-11-06,6.4,Shooter,Electronic Arts
007: Tomorrow Never Dies,3.21,1999-11-16,6.2,Shooter,Electronic Arts
100 Classic Books,0.67,2010-06-14,4.0,Misc,Nintendo
18 Wheeler: American Pro Trucker,0.51,2001-11-14,5.0,Racing,Acclaim Entertainment
2002 FIFA World Cup,0.64,2002-04-22,7.4,Sports,EA Sports
2010 FIFA World Cup South Africa,2.9699999999999998,2010-04-27,6.8,Sports,EA Sports
2014 FIFA World Cup Brazil,1.1,2014-04-15,7.3,Sports,EA Sports
2Xtreme,1.4,1996-10-31,8.3,Sports,Sony Computer Entertainment
300: March to Glory,0.41,2007-02-27,4.9,Action,Warner Bros. Interactive
3D Baseball,0.03,1996-11-27,7.6,Sports,Mindscape
3D Lemmings,0.06,1995-11-01,7.0,Puzzle,Psygnosis
3Xtreme,0.9,1999-03-31,2.9,Action,989 Studios
40 Winks,0.31,1999-11-14,5.5,Platform,GT Interactive
4X4 EVO 2,0.14,2002-09-09,5.1,Racing,VU Games
50 Cent: Blood on the Sand,0.4,2009-02-24,7.2,Shooter,THQ
50 Cent: Bulletproof,0.09,2006-08-29,5.5,Action,Vivendi Games
7 Wonders of the Ancient World,0.08,2007-04-23,5.4,Puzzle,Mumbo Jumbo
7th Dragon III Code: VFD,0.24,2016-07-12,7.5,Role-Playing,Sega
"999: Nine Hours, Nine Persons, Nine Doors",0.37,2010-11-16,7.9,Adventure,Aksys Games
A Boy and His Blob,0.21,2009-10-13,7.9,Platform,Majesco
A Bug's Life,3.42,1998-10-31,3.6,Platform,Activision
A Collection of Activision Classic Games for the Atari 2600,1.37,1998-09-23,3.8,Misc,Activision
A Collection of Intellivision Classic Games,0.31,1999-10-30,4.3,Misc,Activision
A Game of Thrones: Genesis,0.03,2011-09-28,4.9,Strategy,Focus Home Interactive
A Sound of Thunder,0.0,2005-02-01,6.8,Action,BAM! Entertainment
A Way Out,0.72,2018-03-23,7.5,Action,Electronic Arts
A Witch's Tale,0.11,2009-10-06,5.0,Role-Playing,NIS America
A-Train,0.08,1996-01-01,6.0,Strategy,Maxis
A-Train HX,0.0,2008-03-07,2.0,Simulation,505 Games
AC/DC LIVE: Rock Band Track Pack,0.23,2008-11-16,6.7,Misc,MTV Games
ARK: Survival Evolved,0.08,2018-11-30,4.0,Action-Adventure,Studio Wildcard
ATV Offroad Fury,2.41,2001-02-05,8.4,Racing,Sony Computer Entertainment
ATV Offroad Fury 2,2.18,2002-11-09,8.7,Racing,Sony Computer Entertainment
ATV Offroad Fury 3,1.2,2004-11-02,7.5,Racing,Sony Computer Entertainment
ATV Offroad Fury Pro,0.46,2006-10-26,7.6,Racing,Sony Computer Entertainment
ATV Offroad Fury: Blazin' Trails,0.57,2005-04-19,5.9,Racing,Sony Computer Entertainment
ATV: Quad Power Racing,0.26,2002-08-20,5.5,Racing,Acclaim Entertainment
Academy of Champions: Soccer,0.12,2009-11-03,7.1,Sports,Ubisoft
Ace Attorney Investigations: Miles Edgeworth,0.7,2010-02-16,7.7,Adventure,Capcom
Ace Combat: Assault Horizon,1.23,2011-10-11,7.0,Action,Namco Bandai
Ace Combat: Assault Horizon Legacy,0.25,2011-11-15,7.0,Simulation,Namco Bandai
Ace Combat: Joint Assault,0.29,2010-08-31,7.0,Simulation,Namco Bandai
Act of War: Direct Action,0.0,2005-03-15,8.2,Strategy,Atari
Act of War: High Treason,0.0,2006-05-30,6.8,Strategy,Atari
Action Bass,1.14,2000-07-14,5.1,Action,Take-Two Interactive
Activision Anthology,0.05,2003-12-08,8.0,Misc,Activision
Activision Hits: Remixed,0.05,2006-11-08,7.4,Misc,Activision
Adidas Power Soccer,0.04,1996-08-31,7.0,Sports,Psygnosis
Adidas Power Soccer 98,0.02,1998-06-30,5.8,Sports,Psygnosis
Adrenalin Misfits,0.14,2010-11-04,4.7,Racing,Konami
Advance Guardian Heroes,0.04,2004-09-14,7.0,Role-Playing,Ubisoft
Advance Wars,0.7,2001-09-09,9.4,Strategy,Nintendo
Advance Wars 2: Black Hole Rising,0.65,2003-06-24,8.8,Strategy,Nintendo
Advance Wars: Days of Ruin,0.61,2008-01-21,8.4,Strategy,Nintendo
Advance Wars: Dual Strike,0.39,2005-08-22,9.0,Strategy,Nintendo
Adventure Time: Explore the Dungeon Because I Don't Know!,0.04,2013-12-12,2.8,Action-Adventure,D3Publisher
Aedis Eclipse: Generation of Chaos,0.02,2007-04-24,5.8,Role-Playing,NIS America
Aegis of Earth: Protonovus Assault,0.04,2016-03-15,4.0,Action,Aksys Games
Aero Gauge,0.07,1998-05-21,4.5,Racing,ASCII Entertainment
Aero The Acro-Bat,0.0,2002-05-14,7.2,Platform,Metro 3D
AeroFighters Assault,0.19,1997-10-30,5.4,Action,Victory Lap Games
Afrika,0.22,2009-10-06,6.0,Adventure,Natsume
Afro Samurai,0.44,2009-01-27,6.4,Action,Namco Bandai
After Burner: Black Falcon,0.01,2007-03-20,7.4,Simulation,Sega
Again,0.07,2010-03-30,6.0,Adventure,KOEI
Agatha Christie: The ABC Murders,0.1,2009-11-04,6.0,Adventure,DreamCatcher Interactive
Age of Conan: Rise of the Godslayer,0.03,2010-05-11,7.9,Role-Playing,Funcom
Age of Empires Online,0.06,2011-08-16,7.0,Strategy,Microsoft Game Studios
Age of Empires: Mythologies,0.21,2008-11-24,8.2,Strategy,THQ
Age of Mythology: The Titans,0.06,2003-09-30,8.2,Strategy,Microsoft Game Studios
Aggressive Inline,0.48,2002-05-28,7.3,Sports,Acclaim Entertainment
Agony,0.03,2018-05-29,5.0,Action-Adventure,Maximum Games
Aidyn Chronicles: The First Mage,0.1,2001-03-14,6.0,Role-Playing,THQ
Aion: Tower of Eternity,0.0,2009-09-22,7.4,Role-Playing,NCSoft
Air Conflicts: Aces of World War II,0.05,2009-04-07,3.3,Simulation,Graffiti
Air Conflicts: Secret Wars,0.08,2011-09-28,6.0,Simulation,Kalypso
Air Traffic Chaos,0.05,2008-09-09,6.8,Simulation,Majesco
AirForce Delta Storm,0.02,2002-09-16,7.5,Shooter,Konami
Akuji the Heartless,0.12,1998-12-31,6.7,Platform,Eidos Interactive
Alan Wake,1.33,2010-05-18,8.3,Action,Microsoft Game Studios
Alex Rider: Stormbreaker,0.07,2006-10-02,4.0,Action,THQ
Alexi Lalas International Soccer,0.07,1999-04-30,4.4,Sports,Take-Two Interactive
Alice in Wonderland,0.99,2010-03-02,6.3,Adventure,Disney Interactive Studios
Alice: Madness Returns,1.21,2011-06-14,6.7,Adventure,Electronic Arts
Alien Hominid,0.09,2004-11-23,8.3,Shooter,O3 Entertainment
Alien Syndrome,0.14,2007-07-24,4.9,Role-Playing,Sega
Alien Trilogy,0.47,1997-09-01,8.0,Shooter,Acclaim Entertainment
Alienators: Evolution Continues,0.03,2001-11-07,7.0,Action,Activision
Aliens versus Predator,0.01,1999-04-30,8.7,Shooter,Fox Interactive
Aliens vs Predator,2.1,2010-02-16,6.0,Shooter,Sega
Aliens: Infestation,0.17,2011-10-11,8.5,Action,Sega
All Grown Up! Express Yourself,0.18,2004-10-19,3.7,Misc,THQ
All Points Bulletin,0.04,2010-06-29,7.0,Action,Electronic Arts
All Star Tennis 99,0.05,1999-08-31,5.1,Sports,Ubisoft
All-Pro Football 2K8,0.26,2007-07-16,7.5,Sports,2K Sports
All-Star Baseball 2001,0.23,2000-02-29,9.2,Sports,Acclaim Entertainment
All-Star Baseball 2002,0.22,2001-11-17,6.5,Sports,Acclaim Entertainment
All-Star Baseball 2003,0.3,2002-02-25,7.7,Sports,Acclaim Entertainment
All-Star Baseball 2004,0.07,2003-02-23,7.4,Sports,Acclaim Entertainment
Allied General,0.19,1996-09-30,6.3,Strategy,SSI
Alone In The Dark,0.18,2008-06-23,3.1,Adventure,Atari
Alone in the Dark,0.49,2008-06-23,6.3,Adventure,Atari
Alone in the Dark: The New Nightmare,0.16,2001-06-18,7.2,Adventure,Infogrames
Alpha Protocol,0.39,2010-06-01,6.8,Role-Playing,Sega
Altered Beast: Guardian of the Realms,0.09,2002-11-23,6.5,Action,THQ
Alundra,0.23,1997-12-31,8.8,Role-Playing,Working Designs
Alundra 2: A New Legend Begins,0.27,2000-02-29,7.1,Role-Playing,Activision
Amazing Island,0.06,2004-08-25,7.1,Strategy,Sega
America's Army: True Soldiers,0.08,2007-11-15,4.5,Shooter,Ubisoft
America's Test Kitchen: Let's Get Cooking,0.27,2010-03-28,8.5,Simulation,Nintendo
American Bass Challenge,0.05,2001-12-05,6.7,Sports,Ubisoft
Amped 3,0.16,2005-11-16,7.2,Sports,2K Sports
Andretti Racing,0.77,1996-11-30,7.3,Racing,EA Sports
Animal Boxing,0.03,2008-12-02,6.1,Fighting,Destineer
Animal Crossing: Amiibo Festival,0.49,2015-11-13,4.8,Party,Nintendo
Animorphs: Shattered Reality,0.06,2000-09-06,3.5,Action,Infogrames
Anno 1701: Dawn of Discovery,0.13,2008-03-04,8.0,Simulation,Ubisoft
Anno 2070,1.4,2011-11-17,8.7,Strategy,Ubisoft
Another Code R: A Journey into Lost Memories,0.06,2009-06-26,5.9,Adventure,Nintendo
Anubis II,0.07,2007-09-18,1.5,Platform,UFO Interactive
Apache: Air Assault,0.16,2010-11-16,6.8,Simulation,Activision
Ape Academy 2,0.0,2006-09-29,6.4,Misc,Sony Computer Entertainment
Ape Escape,1.63,1999-05-31,9.3,Platform,Sony Computer Entertainment
Ape Escape 2,0.63,2003-06-30,8.0,Platform,Ubisoft
Ape Escape 3,0.13,2006-01-17,7.8,Platform,Sony Computer Entertainment
Ape Escape Academy,0.33,2006-01-17,5.3,Party,Sony Computer Entertainment
Ape Escape: On the Loose,0.7,2005-03-22,6.6,Platform,Sony Computer Entertainment
Apocalypse,0.45,1998-10-31,6.7,Action,Activision
Apollo Justice: Ace Attorney,0.99,2008-02-19,8.0,Adventure,Capcom
Aquaman: Battle for Atlantis,0.01,2003-07-23,2.4,Action,TDK Mediactive
Ar tonelico 2: Melody of Metafalica,0.18,2009-01-20,7.2,Role-Playing,NIS America
Ar tonelico Qoga: Knell of Ar Ciel,0.24,2011-03-15,7.0,Role-Playing,NIS America
Ar tonelico: Melody of Elemia,0.1,2007-02-06,7.0,Role-Playing,Nippon Ichi Software
Arc the Lad: Twilight of the Spirits,0.36,2003-06-25,7.3,Role-Playing,Sony Computer Entertainment
Arcade Party Pak,0.11,1999-09-30,7.6,Misc,Midway Games
Arcana Heart,0.16,2008-04-10,8.1,Fighting,Atlus
Arcana Heart 3,0.2,2014-09-23,7.0,Fighting,Aksys Games
Arcania: Gothic 4,0.27,2010-10-19,5.8,Role-Playing,JoWood Productions
Archer Maclean's Mercury,0.56,2005-04-06,7.7,Puzzle,Ignition Entertainment
Are You Smarter than a 5th Grader? Game Time,0.12,2009-10-26,4.0,Puzzle,THQ
Area 51,0.45,2005-04-25,7.7,Shooter,Midway Games
Armored Core,0.41,1997-10-31,7.2,Simulation,Sony Computer Entertainment
Armored Core 4,0.45,2007-03-20,6.5,Simulation,Sega
Armored Core SL: Silent Line Portable,0.03,2009-11-19,5.8,Simulation,From Software
Armored Core: For Answer,0.33999999999999997,2008-09-16,6.1,Simulation,Ubisoft
Armored Core: Formula Front Extreme Battle,0.05,2005-12-15,6.7,Simulation,Agetec
Armored Core: Last Raven Portable,0.03,2010-03-04,5.0,Simulation,From Software
Armored Core: Master of Arena,0.26,2000-02-29,7.2,Simulation,Agetec
Armored Core: Project Phantasma,0.28,1998-09-30,7.2,Simulation,ASCII Entertainment
Armorines: Project S.W.A.R.M.,0.34,1999-11-30,3.2,Shooter,Acclaim Entertainment
Army Men Advance,0.0,2001-06-10,6.1,Action,3DO
Army Men: Air Combat,0.24,2000-07-14,7.6,Action,3DO
Army Men: Air Combat - The Elite Missions,0.01,2003-03-25,3.8,Shooter,3DO
Army Men: Operation Green,0.0,2001-12-02,6.2,Action,3DO
Army Men: RTS,0.18,2002-03-27,6.1,Strategy,3DO
Army Men: Sarge's Heroes,0.81,1999-09-30,4.2,Shooter,3DO
Army Men: Sarge's Heroes 2,0.42,2000-09-26,6.0,Shooter,3DO
Army of Two,2.8099999999999996,2008-03-07,6.7,Shooter,Electronic Arts
Army of Two: The 40th Day,2.16,2010-01-12,4.8,Shooter,Electronic Arts
Around the World in 80 Days,0.05,2004-07-05,3.5,Action,Hip Interactive
Ashes Cricket 2009,0.17,2009-08-07,6.8,Sports,Codemasters
Asphalt 3D,0.49,2011-03-22,4.0,Racing,Ubisoft
Asphalt: Urban GT,0.59,2004-11-17,5.0,Racing,Ubisoft
Assassin's Creed,11.29,2007-11-13,7.6,Action,Ubisoft
Assassin's Creed II,11.41,2009-11-17,8.5,Action,Ubisoft
Assassin's Creed II: Discovery,0.28,2009-11-17,7.3,Platform,Ubisoft
Assassin's Creed III,7.75,2012-10-30,7.7,Action-Adventure,Ubisoft
Assassin's Creed IV: Black Flag,13.709999999999999,2013-10-29,8.3,Action,Ubisoft
Assassin's Creed Odyssey,3.18,2018-10-05,9.5,Action-Adventure,Ubisoft
Assassin's Creed Rogue Remastered,0.04,2018-03-20,6.0,Action-Adventure,Ubisoft
Assassin's Creed Syndicate,3.6,2015-10-23,8.6,Action,Ubisoft
Assassin's Creed: Altair's Chronicles,0.05,2008-02-05,5.7,Action,Ubisoft
Assassin's Creed: Bloodlines,1.26,2009-11-17,6.3,Action,Ubisoft
Assassin's Creed: Brotherhood,6.97,2010-11-16,8.7,Action,Ubisoft
Assassin's Creed: Revelations,8.45,2011-11-15,7.9,Action,Ubisoft
Assetto Corsa,0.02,2016-08-30,6.0,Racing,505 Games
Asterix and Obelix XXL2,0.06,2018-11-29,6.5,Action-Adventure,Microids
Asteroids Hyper 64,0.16,1999-12-14,5.6,Shooter,Crave Entertainment
Astonishia Story,0.03,2006-06-06,4.8,Role-Playing,Ubisoft
Astro Bot Rescue Mission,0.71,2018-10-02,8.5,Platform,Sony Interactive Entertainment
Astro Boy: Omega Factor,0.09,2004-08-18,8.8,Action,Sega
Astro Boy: The Video Game,0.36,2009-10-20,4.4,Action,D3 Publisher
Atari Anniversary Advance,0.18,2002-03-25,7.7,Misc,Atari
Atelier Iris 2: The Azoth Of Destiny,0.06,2006-04-25,6.8,Role-Playing,NIS America
Atelier Iris 3: Grand Phantasm (US Sales),0.29,2007-05-29,6.1,Role-Playing,NIS America
Atelier Iris: Eternal Mana,0.15,2005-06-28,7.2,Role-Playing,NIS America
Atelier Rorona: Alchemist of Arland,0.48,2014-06-24,6.4,Role-Playing,NIS America
Atelier Totori: The Adventurer of Arland,0.43,2011-09-27,7.8,Role-Playing,NIS America
Atomic Betty,0.03,2005-10-25,6.0,Puzzle,Namco
Attack on Titan 2,0.54,2018-03-20,7.0,Action,Koei Tecmo
Auto Modellista,0.03,2003-09-30,5.9,Racing,Capcom
Avalon Code,0.24,2009-03-10,7.1,Role-Playing,Marvelous Interactive
Avatar: The Last Airbender,0.61,2006-10-10,5.5,Adventure,THQ
Axiom Verge,0.17,2017-11-21,7.5,Action,Thomas Happ Games
Azure Dreams,0.13,1998-07-12,7.4,Role-Playing,Konami
BIT.TRIP COMPLETE,0.09,2011-09-13,8.1,Misc,Aksys Games
BIT.TRIP SAGA,0.14,2011-09-13,7.5,Platform,Aksys Games
BUZZ! Quiz World,0.92,2009-11-10,7.8,Misc,Sony Computer Entertainment
Babysitting Mama,0.49,2010-11-16,3.8,Simulation,Majesco
Back to the Future: The Game,0.05,2010-12-23,7.0,Adventure,Telltale Games
BackTrack,0.0,2001-10-04,5.2,Shooter,Telegames
Backbreaker,0.18,2010-06-01,5.2,Sports,505 Games
Backstreet Billiards,0.34,1998-11-30,7.2,Misc,ASCII Entertainment
Backyard Basketball,0.18,2004-09-22,6.0,Sports,Atari
Backyard Hockey,0.2,2003-10-09,6.0,Sports,Atari
Backyard NFL Football 2006,0.03,2005-10-18,5.5,Sports,Atari
Backyard Wrestling: Don't Try This at Home,0.77,2003-10-07,6.0,Fighting,Eidos Interactive
Bad Boys: Miami Takedown,0.05,2004-09-14,4.3,Shooter,Crave Entertainment
Baja: Edge of Control,0.41000000000000003,2008-09-22,5.0,Racing,THQ
Bakugan: Battle Brawlers,1.38,2009-10-20,6.4,Action,Activision
Baldur's Gate: Dark Alliance,0.17,2002-11-18,7.7,Role-Playing,"Destination Software, Inc"
Baldur's Gate: Dark Alliance II,0.68,2004-01-20,7.8,Role-Playing,Interplay
Ballistic,0.04,1999-10-31,7.9,Puzzle,Atari
Ballistic: Ecks vs. Sever,0.1,2002-09-14,7.3,Shooter,BAM! Entertainment
Band Hero,3.38,2009-11-03,6.0,Misc,Activision
Bangai-O Spirits,0.08,2008-08-12,8.4,Shooter,D3 Publisher
Banjo-Kazooie,0.01,2008-12-03,7.0,Platform,Microsoft Game Studios
Banjo-Kazooie: Grunty's Revenge,0.33,2003-09-10,6.6,Platform,THQ
Banjo-Kazooie: Nuts & Bolts,0.76,2008-11-12,8.0,Platform,Microsoft Game Studios
Banjo-Pilot,0.1,2005-01-12,6.2,Racing,THQ
Barbie Groovy Games,0.56,2002-09-04,3.0,Misc,Universal Interactive
Barbie as The Island Princess,0.23,2007-10-30,5.5,Adventure,Activision
Barbie as the Princess and the Pauper,0.02,2004-09-12,6.0,Adventure,Knowledge Adventure
Barnyard,0.05,2006-08-01,5.6,Action,THQ
Baroque,0.08,2008-04-08,5.2,Role-Playing,Atlus
Baseball Advance,0.13,2002-03-20,8.3,Sports,THQ
Bass Hunter 64,0.31,1999-06-30,6.0,Sports,Take-Two Interactive
Baten Kaitos Origins,0.1,2006-09-25,7.5,Role-Playing,Nintendo
Baten Kaitos: Eternal Wings and the Lost Ocean,0.27,2004-11-16,8.2,Role-Playing,Namco
Batman & Robin,0.11,1998-07-31,5.4,Action,Acclaim Entertainment
Batman Begins,0.17,2005-06-14,6.3,Action,Electronic Arts
Batman Beyond: Return of the Joker,0.09,2000-12-13,2.0,Action,Ubisoft
Batman Forever: The Arcade Game,0.03,1996-12-03,5.2,Action,Acclaim Entertainment
Batman: Arkham Asylum,7.82,2009-08-25,9.0,Action,Eidos Interactive
Batman: Arkham City,10.29,2011-10-18,9.5,Action,Warner Bros. Interactive
Batman: Arkham City Armored Edition,0.37,2012-11-18,8.6,Action,Warner Bros. Interactive Entertainment
Batman: Arkham Knight,4.11,2015-06-23,8.1,Action,Warner Bros. Interactive
Batman: Arkham Origins Blackgate,0.27,2013-10-25,7.0,Action-Adventure,Warner Bros. Interactive Entertainment
Batman: Dark Tomorrow,0.08,2003-03-25,2.3,Action,Kemco
Batman: Rise of Sin Tzu,0.07,2003-10-27,5.5,Action,Ubisoft
Batman: The Brave and the Bold the Videogame,0.5800000000000001,2010-09-07,7.5,Action,Warner Bros. Interactive
Batman: Vengeance,0.99,2001-10-15,6.2,Action,Ubisoft
Battalion Wars 2,0.34,2007-10-29,7.7,Strategy,Nintendo
Battle B-Daman,0.01,2006-07-26,6.0,Action,Atlus
Battle Chasers: Nightwar,0.05,2018-05-15,8.5,Role-Playing,THQ Nordic
Battle Fantasia,0.09999999999999999,2008-09-16,7.0,Fighting,505 Games
BattleBots: Beyond the BattleBox,0.06,2002-12-10,5.8,Action,Majesco
Battlebots: Design & Destroy,0.44,2003-08-31,4.0,Action,Majesco
Battlefield 1,13.16,2016-10-21,9.1,Shooter,Electronic Arts
Battlefield 2: Modern Combat,1.4100000000000001,2005-10-24,7.5,Shooter,Electronic Arts
Battlefield 3,17.32,2011-10-25,8.5,Shooter,Electronic Arts
Battlefield 4,11.120000000000001,2013-10-29,8.3,Shooter,Electronic Arts
Battlefield: Bad Company,2.8,2008-06-23,8.6,Shooter,Electronic Arts
Battlefield: Bad Company 2,7.16,2010-03-02,8.8,Shooter,Electronic Arts
Battles of Prince of Persia,0.12,2005-12-06,5.6,Strategy,Ubisoft
Battlestations: Midway,0.01,2007-01-30,7.7,Strategy,Eidos Interactive
Battlezone: Rise of the Black Dogs,0.07,2000-03-30,7.3,Strategy,Crave Entertainment
Bayonetta,2.14,2010-01-05,8.6,Action,Sega
Beach Spikers: Virtua Beach Volleyball,0.1,2002-08-12,7.1,Sports,Sega
Beaterator,0.11,2009-10-01,7.9,Misc,Rockstar Games
Beautiful Katamari,0.32,2007-10-16,7.3,Puzzle,Namco Bandai
Bee Movie Game,0.62,2007-10-30,6.0,Action,Activision
Beetle Adventure Racing!,0.62,1999-03-24,9.2,Racing,Electronic Arts
Ben 10: Alien Force,0.6,2008-10-28,5.2,Action,D3 Publisher
Beowulf: The Game,0.4,2007-11-13,4.9,Action,Ubisoft
BeyBlade VForce: Super Tournament Battle,0.21,2003-09-23,2.5,Action,Atari
Beyblade G-Revolution,0.2,2004-11-18,2.4,Action,Atari
Beyond Good & Evil,0.33,2003-11-11,8.3,Adventure,Ubisoft
Beyond The Beyond,0.57,1996-08-31,4.8,Role-Playing,Sony Computer Entertainment
Big Bang Mini,0.06,2009-01-21,8.0,Shooter,SouthPeak Interactive
Big Bumpin',0.0,2006-11-19,6.7,Action,King Games
Big Mutha Truckers,0.04,2005-11-09,5.0,Racing,DSI Games
Billy Hatcher and the Giant Egg,0.25,2003-09-23,7.3,Platform,Sega
Bio FREAKS,0.14,1998-05-31,6.2,Action,Midway Games
BioShock,4.27,2007-08-21,9.3,Shooter,2K Games
BioShock 2,3.75,2010-02-09,8.5,Shooter,2K Games
BioShock Infinite,1.82,2013-03-26,9.5,Shooter,2K Games
Bionicle,0.21,2003-10-20,4.8,Platform,Electronic Arts
Bionicle Heroes,0.28,2006-11-14,4.7,Shooter,Eidos Interactive
Black,1.25,2006-02-28,7.7,Shooter,Electronic Arts
Black Sigil: Blade of the Exiled,0.05,2009-06-09,6.0,Role-Playing,Graffiti
Blacksite: Area 51,0.57,2007-11-12,6.3,Shooter,Midway Games
Blackthorne,0.01,2003-09-17,7.1,Action,Blizzard Entertainment
Blade Strangers,0.04,2018-08-28,8.3,Fighting,Nicalis
Bladestorm: The Hundred Years' War,0.37,2007-11-06,5.8,Action,KOEI
Blast Corps,0.71,1997-02-28,9.1,Action,Nintendo
Blast Radius,0.07,1999-02-24,6.6,Action,Psygnosis
"Blast Works: Build, Trade, Destroy",0.1,2008-06-11,8.2,Shooter,Majesco
Blaster Master: Blasting Again,0.25,2001-05-06,7.7,Shooter,Crave Entertainment
Blasto,0.35,1998-04-01,4.6,Action,Sony Computer Entertainment
BlazBlue: Calamity Trigger,0.9299999999999999,2009-06-30,8.5,Fighting,Aksys Games
BlazBlue: Calamity Trigger Portable,0.11,2010-03-09,7.9,Fighting,Aksys Games
BlazBlue: Continuum Shift,0.73,2010-07-27,8.6,Fighting,Aksys Games
BlazBlue: Continuum Shift II,0.24,2011-05-31,6.0,Fighting,Aksys Games
BlazBlue: Cross Tag Battle,0.07,2018-06-05,8.0,Fighting,Arc System Works
Blazing Angels 2: Secret Missions of WWII,0.29000000000000004,2007-09-18,7.2,Simulation,Ubisoft
Blazing Angels: Squadrons of WWII,2.04,2006-03-23,4.7,Simulation,Ubisoft
Blazing Dragons,0.15,1996-10-31,6.6,Adventure,Mindscape
Bleach: Shattered Blade,0.32,2007-10-09,5.3,Fighting,Sega
Bleach: Soul Resurreccion,0.51,2011-08-03,6.7,Fighting,NIS America
Bleach: The Blade of Fate,0.45,2007-10-09,8.2,Fighting,Sega
Blender Bros.,0.02,2002-04-15,7.4,Platform,Atari
Blinx 2: Masters of Time & Space,0.15,2004-11-16,6.8,Platform,Microsoft Game Studios
Blinx: The Time Sweeper,0.56,2002-10-07,6.8,Platform,Microsoft Game Studios
Blitz: The League,1.58,2005-10-17,6.5,Sports,Midway Games
Blitz: The League II,0.25,2008-10-13,6.3,Sports,Midway Games
Blood Bowl,0.24000000000000002,2010-01-26,5.0,Sports,Focus Home Interactive
Blood Omen: Legacy of Kain,0.44,1996-11-14,7.8,Role-Playing,Crystal Dynamics
BloodRayne,0.32,2002-10-15,7.3,Shooter,Majesco
Bloody Roar,0.39,1998-02-01,8.6,Fighting,Sony Computer Entertainment
Bloody Roar II,0.46,1999-04-30,8.2,Fighting,Sony Computer Entertainment
Bloody Roar: Primal Fury,0.18,2002-03-18,7.9,Fighting,Activision
BlowOut,0.01,2003-11-26,6.5,Shooter,Majesco
Blue Dragon,0.92,2007-08-28,7.7,Role-Playing,Microsoft Game Studios
Blue Dragon Plus,0.21,2009-02-19,6.5,Role-Playing,Ignition Entertainment
Blue Dragon: Awakened Shadow,0.1,2010-05-18,5.7,Role-Playing,D3 Publisher
Blue Stinger,0.1,1999-08-31,6.7,Adventure,Activision
Blues Brothers 2000,0.05,2000-11-16,4.9,Platform,Titus
Blur,1.3699999999999999,2010-05-25,8.1,Racing,Activision
Body and Brain Connection,0.2,2011-02-08,6.0,Misc,Namco Bandai
Bodycount,0.22,2011-08-30,4.8,Shooter,Codemasters
Boktai 2: Solar Boy Django,0.04,2004-10-19,7.9,Role-Playing,Konami
Boktai: The Sun is in Your Hand,0.15,2003-09-16,7.8,Role-Playing,Konami
Bomberman,0.15,2006-09-12,7.3,Puzzle,Konami
Bomberman 64,1.04,1997-12-02,6.1,Puzzle,Hudson Soft
Bomberman Fantasy Race,0.02,1999-03-31,6.3,Racing,Atlus
Bomberman Generation,0.25,2002-06-03,8.4,Adventure,Majesco
Bomberman Jetters,0.08,2004-03-10,7.2,Puzzle,Majesco
Bomberman Land,0.23,2008-01-29,6.0,Misc,Hudson Entertainment
Bomberman Max 2: Blue Advance,0.09,2002-05-30,7.3,Puzzle,Majesco
Bomberman Max 2: Red Advance,0.07,2002-05-30,7.5,Puzzle,Majesco
Bomberman Party Edition,0.12,2000-09-19,7.9,Puzzle,Vatical Entertainment
Bomberman Tournament,0.25,2001-06-26,8.8,Puzzle,Activision
Bomberman World,0.33,1998-09-22,6.5,Puzzle,Atlus
Bomberman: Act Zero,0.04,2006-08-29,3.5,Puzzle,Konami
Book of Spells,0.66,2012-11-13,6.5,Misc,Sony Computer Entertainment
Bookworm,0.03,2004-06-30,6.0,Puzzle,Majesco
Boom Blox Bash Party,0.46,2009-05-19,8.8,Puzzle,Electronic Arts
BoomBots,0.11,1999-12-02,4.5,Fighting,SouthPeak Interactive
Borderlands,5.7700000000000005,2009-10-20,8.2,Shooter,2K Games
Bottom of the 9th,0.14,1996-04-04,8.0,Sports,Konami
Bottom of the 9th '97,0.02,1997-06-01,6.0,Sports,Konami
Bottom of the 9th '99,0.05,1998-07-01,5.0,Sports,Konami
Boulder Dash EX,0.0,2002-09-16,7.7,Puzzle,Kemco
Boxing,0.07,2001-05-14,5.9,Fighting,Agetec
Boxing Fever,0.08,2001-10-11,7.2,Sports,Majesco
Brain Age: Concentration Training,0.36,2013-02-10,7.5,Education,Nintendo
Brave Fencer Musashi,1.14,1998-10-31,8.4,Role-Playing,Square
Brave Story: New Traveler (US sales),0.11,2007-07-31,7.5,Role-Playing,Xseed Games
